"","SNF2_14","SNF2_15","SNF2_31","SNF2_33","SNF2_42","SNF2_44","WT_02","WT_18","WT_20","WT_39","WT_42","WT_45","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR277C",592.557607104756,394.79589652726,499.632018815274,541.239891538369,477.975372177944,589.554458076259,1704.50590975248,1976.94838188142,2070.02484481364,1536.17227158509,2070.14264785679,1588.3558055311,1170.15875880503,-1.81896610324876,0.117862716115919,-15.4329219891708,2.26426380377485e-29,2.65035982134956e-27
"YMR045C",34.32953391287,30.5308826647748,31.0192827645846,26.2678502665349,19.0294644661008,25.6985276597343,126.942181867452,147.162003248973,132.965099520876,161.632039010257,203.698246814284,141.496165992214,90.0642731823879,-2.44669151936033,0.173937725819667,-14.0664798727849,2.23408797804551e-29,2.65035982134956e-27
"YOR376W",87.3164232131693,101.067749510979,93.0578482937538,81.8579519933877,63.8046749745733,122.445925908146,6.14236363874767,5.41036776650635,3.02193408001992,8.01481185174827,2.36858426528237,3.27158765299917,48.1483519291094,4.29946489881598,0.339792852982863,12.6531940300487,2.50576598987292e-29,2.88332971275377e-27
"YMR122C",291.054744043898,440.06582599572,582.719383363268,302.385718184529,382.82804984744,334.836698625362,42.9965454712337,63.842339644775,77.0593190405079,62.7826928386948,63.9517751626239,67.0675468864831,225.965886592045,2.62976163860293,0.192812520927436,13.6389567749732,1.149019764767e-28,1.30011586383386e-26
"YOL158C",783.608926272033,986.463346789448,868.539917408369,740.997729611786,863.042182550808,717.291257326115,2206.13227358354,3245.13858635051,3289.37524610168,2830.56438564243,2585.3097255557,2593.5511119151,1809.16789075896,-1.75692266988719,0.11400394030512,-15.4110696979856,1.44347350318571e-28,1.60651501854554e-26
"YJR150C",10.4481190169604,16.8446249184964,16.6174729095989,15.8828862076722,13.4325631525418,16.6284590739458,109.538818224333,80.073442944294,126.921231360837,121.557979751515,84.0847414175241,136.588784512716,62.3849269575362,-2.87938330759592,0.216327572158502,-13.3102927142649,1.93232706298864e-28,2.11589813397256e-26
"YGR051C",339.563868051214,561.136567597413,527.327806997938,339.038532509927,322.381515661002,396.059661579435,82.9219091230935,47.6112363452559,78.5702860805178,80.1481185174827,76.978988621677,57.2527839274855,242.41593958437,2.55904575580427,0.187569079005816,13.6432175781218,2.45062980714416e-28,2.64084535884154e-26
"YNL160W",302.249157276355,430.590724479065,396.60368677576,320.712125347228,342.530360389815,311.405688112075,1405.57754600009,1587.40190269296,2881.41414529899,2158.65599207087,1526.55255897449,1502.47662963987,1097.18087642146,-2.39515755447269,0.176644913046766,-13.5591651814994,3.73484941771947e-27,3.96185823389023e-25
"YOR178C",314.936158939807,296.8865141885,303.545838482007,306.661879855826,301.113290669478,340.127571967072,1002.22900038899,1063.67830289515,944.354400006224,717.32566073147,1147.57907652931,871.06021261103,634.124825605405,-1.62389111975295,0.108009440472305,-15.0347146754208,1.17024800284544e-25,1.20375965019965e-23
"YLR312C",327.623160603259,293.728147016282,332.349458191978,293.833394841936,267.531882788123,338.615893869441,98.2778182199627,100.632840457018,119.366396160787,112.207365924476,92.3747863460124,103.872907982724,206.7011710335,1.57412373251781,0.103215912788922,15.2507853681139,1.15703504112292e-25,1.20375965019965e-23
"YJR147W",265.680740716994,218.980123940454,265.879566553582,218.695125474872,264.173741999988,244.891851816292,570.216091130408,621.110219594929,625.540354564123,631.834334312822,612.279032575492,698.483963915324,436.48042888294,-1.35131801390383,0.0820931889111557,-16.4607811174966,1.69510567553958e-25,1.69236359282915e-23
"YCR018C",80.5997752736948,94.7510151665425,90.8421852391406,105.071401066139,88.4310407542332,114.131696371173,347.043545589243,291.077785838042,271.974067201793,277.846810860607,292.520156762372,303.439754815673,196.477436244888,-1.63238861380642,0.109187910535993,-14.9502688144978,1.67982266041427e-25,1.69236359282915e-23
"YOR306C",530.615187218491,411.640521445757,527.327806997938,546.126933448422,476.855991915232,492.807059827847,1206.97445501392,1270.35435157569,1346.27163264887,1115.3946493683,1232.84811007947,1373.2489173464,877.538801407195,-1.33521107761461,0.0821588566497683,-16.2515781263416,1.40889449871254e-24,1.38622967416803e-22
"YLR111W",124.631133988028,100.014960453573,104.13616356682,126.452209422621,88.4310407542332,175.354659325246,15.3559090968692,19.4773239594229,10.5767692800697,5.34320790116552,18.9486741222589,11.4505567854971,66.681050721317,3.13590458552354,0.259993352477393,12.0614798633985,1.86668949636948e-24,1.81042214155035e-22
"YMR015C",271.651094440971,317.94229533662,300.222343900087,265.732903859132,283.203206466089,252.450242304449,749.368363927215,637.341322894448,673.891299844442,730.683680484384,722.418200911122,825.257985469042,502.513578319833,-1.36697620389379,0.0856903199819015,-15.9525160389471,2.30912634835818e-24,2.20798010971883e-22
"YOR100C",145.527372021949,155.812780496092,155.096413822923,137.448053720241,129.84811047457,169.30794693472,44.0202727443583,34.6263537056406,39.2851430402589,25.3802375305362,45.003101040365,30.2621857902424,92.6348309434914,2.03449172333092,0.151849516506842,13.3980783747787,2.61556119863695e-24,2.46625624688142e-22
"YMR006C",605.244608768208,559.030989482601,730.060976495045,543.683412493396,483.572273491503,521.528943682844,1892.87172800741,1736.72805304854,1714.9475904113,2111.90292293567,1720.77646872764,2573.10368908385,1266.12097138567,-1.77227472230815,0.126890366317621,-13.9669761680091,5.82485690749576e-24,5.41711692397105e-22
"YBL044W",105.973778600599,195.818764677521,176.145212841748,98.9625986785732,116.415547322029,118.666730664067,22.5220000087414,19.4773239594229,7.55483520004979,14.6938217282052,10.6586291937707,16.3579382649959,75.2705984283103,3.11509670751677,0.264187722267063,11.7912243641957,2.11006605360877e-23,1.93584303215539e-21
