	SNF2_14	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_02	WT_18	WT_20	WT_39	WT_42	WT_45
tR(ACG)K	0	0	0	1	0	0	0	0	0	0	0	0
YKL141W	1568	1301	1171	2076	1049	2016	881	814	778	704	866	985
YKL065C	3221	1964	1558	3801	2017	3476	1736	1773	1420	1315	1634	1554
YKL013C	1735	1732	1423	2050	1220	1793	1147	1081	1047	978	1024	1349
YKL040C	826	526	494	1068	470	681	551	543	352	424	479	668
YKR061W	282	230	197	354	196	355	353	304	245	251	311	410
YKL096W	2255	1312	1832	2338	1155	2593	2935	3152	2843	2153	3818	3906
YKR050W	945	723	742	1021	710	822	554	644	494	536	603	888
YKL170W	42	42	22	62	33	65	59	46	23	43	52	65
YKR046C	2172	1717	1758	2606	1453	2318	1335	1222	1142	1115	1149	2052
YKL210W	4900	2848	2411	5273	3102	3655	2840	3334	2141	2529	2824	3895
YKR002W	1433	762	793	1707	877	1218	718	788	467	565	714	955
YKL015W	914	555	514	936	561	853	565	505	350	374	486	708
snR87	8	8	2	10	5	15	7	3	5	6	3	8
YKL009W	870	545	632	1342	489	787	1564	1235	642	1215	1133	2372
YKL108W	538	280	340	759	346	583	223	185	120	138	153	229
YKR097W	282	232	227	255	167	260	88	83	82	67	85	128
YKL071W	140	66	83	151	71	131	105	104	47	85	101	152
YKL075C	354	217	223	422	206	325	233	186	139	167	202	302
YKL206C	652	476	411	743	437	602	388	409	288	324	386	452
tD(GUC)K	0	0	0	0	0	0	0	0	0	0	0	0
YKL195W	3597	1980	2276	4544	2144	3315	2145	2378	1745	1736	2472	2788
YKL130C	418	296	284	485	274	412	360	240	186	240	262	388
YKL064W	2732	2368	2118	3378	2002	2570	1701	1871	1518	1736	1762	2370
YKR026C	805	622	713	1064	583	795	884	735	552	695	656	1279
YKL076C	50	14	26	91	31	58	30	24	9	4	22	26
YKL188C	544	315	314	607	319	501	223	262	154	134	235	261
YKL196C	2167	1883	1777	2663	1507	2000	1439	1499	1247	1270	1343	1943
snR42	105	36	24	82	38	64	53	55	42	35	49	48
YKR105C	62	36	36	65	45	62	31	40	25	27	23	46
YKL109W	951	531	470	1078	519	862	3051	2807	1343	2049	2226	3783
YKR071C	1408	898	926	1851	948	1411	961	832	582	667	734	1102
YKL168C	771	476	447	917	559	723	528	531	358	363	472	638
YKL102C	16	14	7	10	8	13	11	21	10	5	16	14
YKR090W	1013	790	755	1137	790	953	611	620	475	504	574	864
YKR036C	678	530	495	825	471	544	427	442	299	421	409	675
YKL202W	38	17	22	49	23	56	35	26	10	8	15	33
YKR084C	1342	927	858	1544	934	1026	851	767	659	764	759	1224
YKL216W	5155	4156	3308	6774	3847	4210	5656	5717	3968	5073	4737	7999
YKR055W	277	184	219	368	195	316	165	144	79	111	113	194
YKL219W	426	201	175	471	246	407	266	285	185	219	233	253
YKL020C	1246	815	725	1339	732	1112	831	850	498	575	687	1095
YKL178C	81	62	43	99	49	85	12	19	9	15	10	28
YKL067W	2877	2680	2231	3646	2137	2890	1352	1517	1477	1357	1481	1722
YKL097C	23	18	36	29	14	23	9	1	7	3	4	8
YKL095W	267	178	160	357	150	233	179	177	109	150	171	275
YKR031C	1462	567	598	1648	777	1107	685	924	432	611	795	999
YKL036C	32	41	25	47	20	33	42	39	49	68	42	46
YKR088C	916	800	614	1155	709	1043	743	681	459	597	668	884
YKL151C	1914	2172	1893	2337	1482	1809	809	911	966	836	849	1159
YKL105C	1445	908	928	1659	933	1244	749	896	605	772	808	1150
YKL169C	17	10	9	32	10	17	15	18	19	10	15	22
YKL150W	2286	1973	1737	2663	1625	2366	1803	1886	1692	1544	1826	2215
YKL023C-A	229	289	222	270	139	247	264	221	191	285	221	341
YKL138C-A	252	397	286	337	208	261	206	178	169	223	190	260
YKL082C	565	221	282	923	329	399	611	532	186	566	577	809
YKR070W	950	951	772	1068	710	832	610	612	528	548	529	841
YKR021W	809	607	604	959	526	769	528	543	421	464	441	745
YKR016W	1175	575	542	1457	718	1069	688	757	533	541	778	857
YKR033C	0	0	0	0	0	0	0	0	0	0	0	0
YKR059W	1598	1503	1244	2002	1068	1437	1549	1362	1032	1600	1420	2219
YKR069W	835	631	578	1020	525	712	334	258	237	222	251	393
YKR053C	446	350	322	518	319	495	541	577	503	487	469	734
YKL218C	553	560	474	676	460	598	338	353	608	330	322	396
YKL167C	322	176	196	408	189	404	278	261	193	162	236	294
tE(UUC)K	1	0	0	1	1	1	2	0	0	0	0	1
YKL142W	2134	1445	1042	2387	1462	2147	1235	1267	1018	880	1176	1118
YKL011C	241	120	93	277	110	266	190	159	90	111	153	156
YKL160W	1627	1253	1432	2194	1144	1657	1111	1095	925	843	1019	1443
YKL144C	206	149	168	328	139	220	253	162	78	154	156	284
YKL055C	50	35	26	60	33	41	56	55	36	44	40	74
YKR043C	3141	2999	3124	4184	2412	2396	2385	2281	1981	2518	2115	4276
YKR039W	2456	1378	1625	2521	1290	1906	294	355	348	264	336	487
