	SRR6357070_ReadsPerGene.out.tab	SRR6357071_ReadsPerGene.out.tab	SRR6357072_ReadsPerGene.out.tab
tR(UCU)G1	14	17	30
YGL218W	0	0	0
YGL198W	429	632	513
YGL083W	2168	3233	2560
tC(GCA)G	0	1	12
YGR071C	1694	2524	2021
YGR259C	2	2	3
YGR058W	695	1042	848
YGL195W	59770	86066	68260
YGL192W	0	0	0
YGL206C	43773	63788	49808
YGR060W	14671	20265	19483
YGL257C	2268	3516	2634
YGL236C	877	1417	863
YGR138C	9239	9666	11554
YGR015C	435	651	515
YGL023C	2361	3635	2739
YGL144C	1297	1939	1409
YGL071W	2844	4197	3206
tK(CUU)G3	3	1	7
YGR080W	1491	2051	1736
YGL116W	1321	1965	1684
YGR035C	298	508	635
YGL201C	4157	5979	4617
YGR212W	506	778	585
YGR154C	288	493	352
YGL241W	2397	3429	2767
YGL262W	1	2	11
YGR247W	632	983	797
YGR199W	1372	2295	1852
YGL260W	1	1	2
YGR179C	731	1105	820
YGR011W	76	106	81
YGL111W	3899	5850	4542
snR39B	66	134	133
YGR073C	0	0	0
YGR155W	38487	56608	42775
YGL114W	1706	2530	1942
YGL255W	1670	2434	2646
YGR066C	77	103	53
YGR233C	8192	11768	9105
YGR092W	1375	2107	1675
YGL041W-A	84	109	80
YGR171C	1149	1683	1268
tW(CCA)G2	7	11	10
YGL171W	3842	5304	3925
YGL029W	937	1356	1141
YGR040W	1411	2058	1453
YGR220C	730	1173	851
YGR268C	696	1094	986
YGL147C	57317	77513	68393
tK(CUU)G1	4	1	2
YGR144W	76	113	95
YGR178C	9684	13494	10566
YGR113W	947	1478	1244
YGL203C	3622	5443	4210
YGL048C	8363	12195	9362
YGR207C	2267	2990	2260
YGR258C	1718	2798	1878
YGL091C	1159	1787	1468
YGR093W	1722	2471	1856
YGR119C	4230	6270	4820
YGR213C	296	359	333
YGR061C	35325	51559	37343
YGL182C	6	12	11
YGR139W	37	48	35
YGR121C	906	1412	1080
YGL043W	2249	3198	2372
YGR280C	328	670	563
YGL085W	515	792	600
YGL031C	39266	57452	51833
YGR117C	2102	2855	2122
YGR254W	38651	61504	51251
YGR235C	2372	2874	2394
YGL124C	1031	1599	1195
YGR236C	17	33	27
YGL164C	478	807	642
YGR293C	3	16	10
tL(CAA)G1	9	6	12
YGR264C	26997	35168	28104
YGL234W	21212	30492	21160
YGL109W	40	92	56
YGL238W	11615	16147	12438
YGL041C-B	7	13	12
YGR056W	2911	4122	3202
YGR201C	385	634	499
YGR239C	462	856	612
YGR169C-A	311	504	442
YGR185C	14268	21272	17382
YGR189C	11893	16658	13664
YGR022C	4	3	1
YGR290W	26	40	26
YGL205W	301	467	384
tK(CUU)G2	0	1	2
YGL221C	3451	4926	3969
YGL108C	148	239	192
YGL069C	0	0	0
YGL135W	42376	60034	51409
YGR253C	6092	9078	6864
YGL053W	753	990	789
YGL101W	1567	2124	1781
YGR271C-A	1330	1883	1598
YGR267C	3553	4904	4013
YGR234W	28192	36344	33596
YGL251C	785	1166	861
YGL141W	1702	2603	1984
YGL245W	46620	65316	50802
YGL007W	78	100	64
YGL005C	1149	1576	1224
YGL215W	7568	10722	8487
YGR173W	3636	4943	3806
YGL249W	24	25	16
YGR161W-C	253	402	356
YGR229C	5088	7902	5865
YGR070W	1430	1822	1346
YGR135W	5949	8939	7049
YGL014C-A	0	0	0
YGR225W	45	62	53
YGL258W	64	86	73
tT(UGU)G1	5	3	4
YGL139W	4563	6811	5191
YGL172W	1334	2836	2361
YGR088W	537	850	628
YGL126W	1615	1665	1674
YGR140W	2011	3009	2344
YGR129W	361	532	438
YGL027C	7226	10612	7716
tL(CAA)G2	5	9	6
YGL231C	1895	2619	2246
YGL019W	3279	4746	3698
tR(UCU)G3	9	13	13
YGR017W	1739	2389	1927
YGR107W	13	19	17
YGL039W	2224	3112	2329
tL(CAA)G3	1	2	9
YGL123C-A	0	0	0
YGL002W	1229	1801	1343
YGR044C	1803	2570	1920
YGR193C	3421	4686	3774
YGL033W	30	49	52
YGR165W	1540	2334	1705
YGL030W	31208	41032	39677
YGL128C	454	783	593
YGL063C-A	0	0	0
YGL007C-A	28	36	40
YGL175C	409	542	384
YGL223C	1566	2128	1739
YGR190C	242	300	272
YGL004C	794	1122	843
YGL148W	15462	22014	17460
YGR281W	8187	13575	12857
tH(GUG)G2	21	52	63
tF(GAA)G	11	14	13
YGR078C	1930	3198	2468
YGL133W	3289	4552	3726
tV(AAC)G2	12	25	13
YGR295C	3107	4515	3590
YGR048W	1631	2329	1726
YGR065C	1491	2292	1399
YGL051W	182	268	174
YGL220W	1159	2008	1546
YGR019W	1755	2771	2032
YGL010W	317	469	385
YGL090W	584	847	627
YGR054W	11459	16147	12597
YGR174W-A	29	42	37
YGL032C	963	1316	1106
tE(UUC)G2	1	1	6
YGL179C	1343	1588	1402
tE(UUC)G3	4	3	4
YGR002C	1464	2012	1697
YGL134W	963	1373	972
YGL235W	2	6	5
YGL006W	4904	6366	5178
YGR028W	1328	1987	1474
YGR283C	1534	2257	1796
YGR249W	1193	1443	1114
snR82	14577	21663	33423
snR7-L	2	3	1
YGL232W	2034	3139	2661
YGL157W	2132	3006	2559
YGL118C	3	2	9
YGR012W	1513	2262	1812
YGR242W	48	57	46
YGR014W	12975	20691	16590
YGR038C-A	0	0	0
YGR161C-C	0	0	0
YGR027W-A	0	0	0
YGR109W-A	0	0	0
YGR027W-B	2616	4113	2718
YGR038C-B	742	837	566
YGR161C-D	575	922	582
YGR161W-A	0	0	0
YGR109W-B	482	681	495
YGR161W-B	5	11	4
YLL050C	12144	17513	14742
YLL032C	1972	2672	2178
YLR466W	8	27	19
YLR054C	277	379	301
YLR437C	777	1040	1016
YLR217W	2	0	2
YLL056C	226	405	277
YLR128W	377	526	442
YLR279W	38	43	34
YLR075W	27908	38444	34284
YLR052W	1612	2293	1838
YLR159C-A	0	0	0
YLR025W	1069	1698	1329
YLR049C	1606	2307	1860
YLR308W	7	15	15
YLR032W	1931	2790	2235
ETS2-2	26	41	63
YLR251W	270	417	277
YLR321C	1428	2206	1664
YLR327C	594	775	481
YLR154C-H	0	0	0
YLR247C	4509	6582	4957
YLR167W	104857	151403	134561
YLR220W	1584	2439	2031
YLR455W	1522	2020	1538
YLR282C	3	8	11
YLR094C	1793	2751	2265
YLR272C	4098	5514	4288
YLR264C-A	8260	9949	8506
YLR338W	2	1	5
YLR181C	1440	2210	1609
YLR458W	3	9	2
YLR180W	27147	40205	28365
YLR250W	2051	3232	2466
YLR222C-A	69	102	94
YLR424W	806	1246	957
YLR253W	1642	2409	1789
YLR390W-A	10493	15366	13432
YLR233C	699	1037	774
YLR347W-A	0	0	0
YLR117C	1605	2430	1880
YLR110C	167761	235916	225629
YLR072W	1375	2048	1517
YLR069C	2516	3961	2675
YLR403W	2931	4189	3345
YLR008C	1647	2410	1790
YLR231C	1918	2721	2004
YLR264W	7678	10821	8713
YLR164W	133	232	186
YLR079W	2659	3513	2917
YLR103C	1082	1422	1154
YLR170C	0	0	0
YLR228C	1626	2466	1984
YLL036C	1793	2429	1918
YLR467C-A	0	0	0
YLR198C	56	97	56
snR61	149	144	169
YLR411W	171	240	192
YLR056W	13135	18346	18840
YLR429W	6453	9765	7622
YLL060C	223	360	247
YLR310C	7603	11009	8593
YLR342W	83094	136009	112288
YLR017W	4169	5968	4515
tL(UAG)L2	0	0	1
YLR304C	24633	41541	27999
YLL052C	135	169	135
YLR027C	14339	21288	16511
YLR214W	8847	11752	7663
ITS2-2	0	0	0
YLL062C	463	938	433
YLR378C	10992	16529	13655
YLR023C	1979	3599	2386
YLR425W	1792	2871	2201
YLR073C	1490	2304	1835
YLL008W	7087	10555	7819
YLL063C	199	353	295
YLR449W	8696	12160	10370
YLL046C	3	4	10
YLR089C	4100	6210	4688
RDN18-1	0	0	0
YLR020C	2455	3601	2897
YLR190W	3381	4963	4046
YLR045C	3367	4413	3666
YLR285W	1741	2277	2097
YLR322W	4	6	4
YLR276C	6960	10023	7596
YLR346C	88	161	131
YLR156W	0	0	0
YLR135W	1059	1446	1194
YLR261C	4	8	10
YLL066C	6	12	7
YLR077W	1779	2739	1914
YLR144C	2392	3471	2639
YLR414C	3806	5604	4598
YLR030W	213	310	294
YLR301W	6051	8166	6696
YLR252W	93	142	107
YLR427W	2250	3410	2658
YLR200W	1245	1503	1315
YLR150W	75929	102977	84171
YLL021W	7783	11588	9168
YLR078C	1300	1824	1480
YLR153C	17802	25609	19816
YLR404W	522	767	581
YLR014C	1350	1910	1456
YLL005C	676	1037	817
tQ(UUG)L	0	1	0
YLR262C	507	843	651
YLR296W	11	10	10
YLR234W	616	841	745
YLR096W	3797	6060	4770
YLR271W	360	563	457
YLR033W	2122	3360	2592
YLR278C	4902	6601	5816
YLL055W	516	811	562
YLR266C	1334	2027	1558
YLL030C	3	3	4
YLR323C	501	767	605
YLR007W	1208	1702	1301
YLR406C-A	4	8	12
YLL015W	5042	7579	5900
YLR343W	1417	2274	1460
YLR269C	51	61	57
tN(GUU)L	3	3	7
YLR210W	1038	1395	1144
YLR058C	15091	22909	16344
YLR145W	316	450	332
YLR080W	178	279	191
YLR443W	894	1293	1036
YLR325C	28141	42662	37627
YLL006W	1103	1741	1351
YLR074C	1491	2544	2210
RDN5-5	0	0	0
YLR311C	12	8	9
YLR191W	794	1151	867
YLR235C	0	0	0
YLR364C-A	0	0	0
ITS2-1	0	0	0
YLR288C	610	953	749
YLL001W	2530	4000	2860
YLR409C	8284	12202	9719
YLR099C	1820	2673	2756
YLR131C	1608	2094	1884
YLR362W	1353	1947	1413
YLR256W	13038	18299	15413
YLR068W	541	589	536
YLR101C	5	6	3
YLR341W	216	241	236
YLL054C	1224	1867	1377
YLR186W	3443	4842	4023
YLR143W	2311	3156	2360
YLR368W	1247	1833	1435
YLR393W	394	584	456
YLR176C	857	1143	1093
YLR126C	942	1265	1025
YLR099W-A	497	647	697
YLR423C	364	520	361
YLR357W	2929	4346	3387
YLR197W	21201	29382	23079
ETS1-1	0	0	0
YLR187W	2831	4075	3475
RDN5-2	0	0	0
YLL034C	4398	7083	5610
YLL023C	1675	2375	1813
YLR065C	898	1445	1178
YLL031C	5048	7069	5518
YLR419W	5037	7308	5533
YLR149C-A	30	50	41
YLR294C	523	661	558
YLR405W	1386	2165	1716
YLR157C-C	0	0	0
YLR463C	0	0	0
YLR026C	1856	2956	2302
YLR267W	319	502	278
YLR093C	1978	2928	2243
YLR085C	1160	1803	1330
YLR246W	399	647	566
YLR433C	1956	2680	2179
YLR227C	724	1087	801
YLR012C	2	7	5
YLR111W	30	32	45
YLR152C	769	1018	835
YLR370C	2077	2935	2675
YLL026W	29264	35676	26448
YLR289W	623	915	628
YLL066W-B	3	3	22
YLR114C	1756	3037	2347
YLR213C	256	430	290
YLR146C	1242	1821	1427
YLR445W	22	25	35
RDN18-2	0	0	0
YLR169W	130	199	140
YLR202C	37	57	48
YLL053C	182	200	147
YLR333C	19323	25217	22996
YLR082C	605	864	707
YLR193C	669	1052	850
YLL043W	4033	5907	4887
YLR337C	1184	1710	1551
YLL066W-A	0	0	0
YLR039C	2408	3450	2757
YLR457C	164	234	187
YLR377C	347	454	354
YLR104W	695	940	841
YLR319C	1882	2832	2201
YLR184W	1	5	3
YLR317W	0	0	0
YLL003W	1543	2210	1730
YLR004C	291	407	283
YLR407W	1088	1773	1467
YLR336C	3235	4946	3823
YLR430W	9960	15084	11426
YLR436C	3736	5606	4804
YLR347C	11255	14723	11566
YLR324W	1531	2400	1695
tV(AAC)L	17	16	22
YLR460C	83	158	119
YLR113W	6275	8238	6497
YLR046C	522	733	555
YLR125W	154	187	175
YLR196W	8235	11649	8917
YLR363W-A	611	1062	890
YLL061W	1858	3328	1556
YLR119W	543	740	514
snR57	336	543	533
YLL020C	1	5	2
YLR163C	1966	2841	2016
YLL014W	1320	1805	1603
YLR129W	6950	11231	8665
tD(GUC)L2	0	4	4
YLR173W	936	1405	992
YLR090W	1475	2404	1661
YLR286W-A	0	0	0
snR55	111	179	171
YLR259C	31188	51652	30849
YLR219W	2627	3521	2955
YLR401C	3702	5530	4260
YLL058W	878	1396	1199
YLR177W	1433	1833	1467
YLR415C	14	23	26
YLR467W	0	0	0
YLR302C	4	1	5
YLR185W	25876	34633	34338
YLR060W	19696	28244	22564
YLR313C	400	585	440
YLR303W	18357	32416	13709
YLR154W-B	0	0	0
YLL029W	5208	7280	5776
YLL047W	3	5	5
YLR285C-A	949	1016	929
YLR001C	1835	2733	2013
snR79	43	78	89
YLR465C	0	0	0
YLR015W	967	1536	1173
YLR432W	26344	35309	29878
YLR081W	162	242	217
YLR166C	3774	5096	4013
YLR383W	2207	3158	2263
YLR035C	714	1047	766
YLR044C	824104	1245059	1011428
YLR293C	30428	40861	34521
YLR399W-A	0	0	0
YLR192C	6577	9732	7917
YLR300W	25669	35815	31389
YLR098C	1282	1769	1370
YLR448W	35270	50957	43973
YLR381W	917	1229	999
YLR280C	0	0	0
snR44	2378	2570	3354
YLR367W	6523	8913	8630
YLR309C	2876	4145	3319
YLR299W	764	1238	954
YLR224W	2194	3397	2477
YLR029C	87919	123830	105630
YLR373C	2510	3710	3104
YLR092W	789	1402	931
YLL018C-A	644	903	828
RDN25-2	0	0	0
YLR066W	1826	2452	2067
RDN58-1	0	0	0
YLR146W-A	281	350	386
YLR175W	18321	27053	21514
YLR402W	228	414	351
YLR158C	0	0	0
YLL051C	3003	4241	3463
YLR314C	6562	9004	7560
YLR438C-A	538	838	817
YLR209C	1508	2380	1794
YLR019W	2091	3168	2449
YLR123C	14	11	10
YLR353W	1598	2284	1830
YLR361C	1323	2040	1425
YLL033W	334	461	414
YLR389C	7707	10965	8559
YLR438W	4543	6578	5564
YLR290C	634	1002	732
YLR270W	1543	2188	1692
YLR194C	4283	5543	4738
YLR006C	1712	2402	1869
YLR223C	4315	6621	5054
YLR195C	3348	4709	3783
YLL016W	851	1382	1058
YLL067W-A	0	0	0
YLR398C	5591	8223	6713
YLR418C	2072	2912	2369
YLR010C	167	234	188
YLR307W	40	53	50
YLR356W	596	856	715
YLR431C	468	716	487
YLR109W	75814	103662	67073
tI(UAU)L	29	34	40
YLR364W	268	396	294
YLR106C	40238	62463	50580
YLR083C	9973	15160	11989
YLR274W	2657	3875	2926
YLR413W	24483	34790	30642
YLR412C-A	7	15	14
YLR340W	58245	85968	70106
YLR055C	1523	2441	1993
YLR254C	412	576	447
YLL017W	113	127	109
YLR121C	3742	4793	4459
tA(AGC)L	7	10	8
YLL042C	118	158	126
YLR157W-D	1	1	1
YLR211C	265	392	296
YLR400W	148	233	184
YLR105C	704	1122	800
YLR142W	582	767	691
YLR376C	184	302	198
YLR318W	575	748	602
YLR239C	790	1184	929
YLR262C-A	1789	2930	2872
tE(UUC)L	0	1	4
YLL037W	0	3	0
YLR452C	4962	7346	5855
YLR372W	14781	21221	15783
YLR154W-C	0	0	0
ETS2-1	0	0	0
YLR363C	731	979	786
YLR207W	2881	4096	3011
YLR312W-A	856	1508	1080
YLR188W	3641	5405	4094
YLR011W	314	432	325
YLR159W	0	0	0
YLR328W	3695	4806	3894
YLR171W	2	4	3
YLR241W	3272	5015	3536
YLR245C	389	592	472
YLR360W	1161	1647	1177
snR30	189460	252491	236864
YLR205C	257	356	306
RDN25-1	0	0	0
YLR161W	0	0	0
YLR287C	2413	3486	2683
YLR366W	2	6	7
YLR410W	12344	17227	13738
YLR230W	309	545	424
YLR097C	1013	1386	1032
YLR397C	3456	4939	4103
YLR120C	6053	8393	6817
YLR335W	7844	11817	9546
YLR399C	6106	8881	6971
YLL044W	0	0	1
YLR453C	379	535	427
YLL057C	228	414	273
YLR388W	11140	13316	14908
YLR249W	547360	754081	591470
YLR151C	290	412	296
YLR260W	1987	2637	2011
YLL010C	1841	2821	2307
YLR133W	1440	2119	1690
YLR329W	139	200	164
snR6	40	45	58
YLL011W	3504	5148	4082
YLR384C	17758	25730	19185
YLR203C	2259	3873	2805
YLR156C-A	0	0	0
YLR394W	679	1007	802
YLR021W	688	929	763
YLR331C	9	13	9
YLR450W	5670	8352	6703
YLR140W	9	13	11
YLR157W-E	0	0	0
YLR390W	527	764	568
YLR291C	5036	6846	5494
RDN5-4	0	0	0
YLR408C	104	155	158
YLR240W	2090	3143	2495
YLR018C	1500	2222	1826
YLR344W	23640	26942	25975
YLR412W	1411	1952	1481
YLR447C	13736	19681	16054
YLR361C-A	230	393	315
YLR112W	240	379	302
YLR435W	1333	2106	1616
YLR084C	5918	8779	6492
snR34	4728	10073	13470
YLR091W	558	845	676
YLR275W	460	661	572
YLR102C	262	384	290
YLR263W	420	706	539
YLR379W	840	1518	1161
tL(UAG)L1	31	64	45
YLR459W	1754	2700	2116
YLR316C	294	376	373
YLR277C	2181	3252	2599
tP(UGG)L	4	8	7
YLR229C	1732	2722	2202
YLR120W-A	31	45	47
YLR048W	72015	97749	80893
YLL059C	78	134	99
YLR238W	786	1136	957
YLR283W	359	493	398
YLR298C	744	971	790
YLR232W	17	34	19
YLR086W	4287	6196	4820
YLR053C	107	158	107
YLL041C	1500	2014	1603
YLR330W	6194	9420	7277
YLR244C	10732	15100	12610
YLR299C-A	0	0	0
YLL019W-A	0	0	0
YLR258W	2769	3623	2690
YLR174W	288	379	308
YLR444C	0	0	0
YLR315W	134	196	178
YLR374C	8	21	8
YLR154W-F	0	0	0
tR(ACG)L	10	13	21
YLR172C	5708	7938	6275
YLR273C	484	699	524
tK(UUU)L	15	19	19
YLL012W	1275	2066	1780
YLR022C	2086	2567	2077
YLR382C	1612	2760	1896
YLR041W	13	15	13
YLR466C-A	0	0	0
YLR268W	1535	2133	1937
YLR420W	8089	11312	8444
ITS1-1	0	0	0
YLR137W	388	584	504
YLR087C	8294	12687	9747
YLL049W	632	956	768
tL(CAA)L	19	32	41
RDN37-1	0	0	0
YLR426W	702	1026	793
YLL035W	2005	3193	2466
YLL009C	505	778	555
YLR036C	453	693	495
YLR118C	1500	2044	1727
ETS1-2	0	0	0
YLR406C	12550	17183	14666
ITS1-2	0	0	0
YLR136C	1038	1112	1214
YLR385C	261	356	296
YLR281C	23	17	15
YLR138W	6245	9100	6733
YLL019C	2057	3119	2375
YLR284C	243	326	260
YLR295C	1508	2098	1871
YLR307C-A	14	24	23
YLR349W	14	26	24
YLR248W	6113	8935	6799
YLL006W-A	1	1	2
YLR127C	1285	2089	1552
YLR002C	4449	6569	5051
YLR168C	751	1030	858
YLR342W-A	1144	1883	1589
YLR031W	166	265	176
RDN5-3	0	0	0
YLR189C	2537	3682	2827
YLR358C	105	99	107
YLR134W	1734	2119	1889
YLR051C	1621	2462	1937
YLR466C-B	41	50	39
YLR215C	914	1452	1128
YLR206W	3796	5389	4366
tI(AAU)L2	0	0	2
YLR201C	1005	1264	1091
YLL018C	21952	31414	25002
YLL025W	51	100	78
YLR392C	865	1200	871
YLR063W	904	1477	1237
tA(UGC)L	2	2	2
YLR124W	75	120	113
YLR350W	2797	4083	3588
YLR312C	89	139	104
YLR204W	594	825	632
YLL007C	805	1184	976
YLR141W	273	339	317
tD(GUC)L1	5	3	9
YLL038C	885	1305	1022
YLR257W	7420	9842	7678
YLR108C	1400	1795	1094
YLR163W-A	0	0	0
YLR416C	14	19	10
YLR375W	2280	2805	2577
YLR287C-A	20563	30609	28474
YLR154W-E	0	0	0
YLR155C	0	0	0
tS(AGA)L	2	1	1
YLR003C	2423	3435	2866
YLR221C	2079	3000	2312
YLR355C	65638	96477	76990
YLR464W	1	3	1
YLR446W	648	874	713
YLR237W	2219	3606	2377
YLR441C	82540	110485	91818
YLR178C	620	1071	765
YLR028C	7945	12053	9485
YLR043C	5751	8342	6964
YLR218C	171	322	210
YLR243W	1316	1859	1522
YLR148W	2795	3706	2785
YLR162W-A	83	99	84
YLR462W	14	33	15
RDN37-2	0	0	0
YLR095C	2515	3737	3080
YLR199C	1280	1925	1587
YLR154W-A	0	0	0
YLR154C	597	824	799
YLL064C	3	2	3
YLR461W	6	7	8
tL(UAA)L	4	8	12
YLR265C	678	1016	837
YLR428C	1	0	7
YLR242C	519	731	588
YLR351C	2858	4414	3433
YLR306W	367	457	455
YLR130C	2660	4319	3384
YLL028W	1699	2872	2548
YLR183C	2052	3121	2338
tR(CCG)L	20	16	22
YLR042C	446	610	509
YLR396C	1798	2465	1934
YLR122C	19	24	18
YLR326W	559	668	524
YLR024C	2737	4310	3227
YLR442C	1780	2600	1991
YLR380W	3271	5272	4303
YLR061W	67	92	76
YLR386W	3126	4540	3415
YLR387C	2823	3968	2920
YLR422W	5065	7586	5686
YLR354C	21378	31176	25082
YLR434C	8	10	9
YLL039C	4727	6853	4843
YLR149C	452	689	444
YLR208W	6111	8407	7146
RDN5-6	0	0	0
YLR115W	3081	4429	3573
YLR005W	1632	2368	1803
YLR147C	432	554	508
YLR076C	20	32	35
YLR162W	41	51	39
YLR451W	2253	3296	2597
YLR212C	1456	2048	1791
YLR454W	9623	14560	11092
YLR437C-A	0	0	0
YLR064W	1907	2805	2364
YLR132C	373	561	420
YLR182W	2572	3571	2836
YLR038C	1334	1662	1551
YLR107W	1370	1967	1449
YLR139C	686	1017	887
YLR305C	10386	15098	12036
YLR339C	1	0	2
YLR062C	17	17	16
YLR334C	22	15	22
YLL002W	679	943	746
YLR070C	162	260	231
YLR157C	0	0	0
YLR226W	987	1554	1156
YLL048C	19963	29492	22386
YLL024C	214232	304453	226235
YLR009W	5044	7336	5928
YLR057W	2285	3255	2624
YLR348C	853	1875	1038
YLR439W	984	1396	1148
YLR236C	56	92	57
YLR345W	1319	1675	1283
YLR050C	793	1214	953
YLR332W	1536	2226	1919
YLR369W	1808	2604	1961
YLL065W	2	3	14
tX(XXX)L	4	8	8
RDN5-1	16	24	67
YLR417W	1139	1674	1336
YLR179C	4678	7474	5776
YLR013W	6	5	6
YLR116W	1976	2901	2333
YLR371W	5024	7114	5668
YLR222C	8329	11677	8863
YLR365W	9	11	12
YLR440C	2247	3134	2363
YLR059C	1686	2529	1997
YLR165C	284	434	326
YLR421C	2910	4228	3235
YLL027W	1223	1877	1420
YLR292C	2290	3229	2597
YLR034C	3183	4331	3583
YLR016C	603	909	697
YLR255C	55	95	87
YLR297W	1015	1333	1228
YLR225C	1667	2438	1834
YLR047C	1499	1968	1488
YLL022C	1421	1999	1562
tI(AAU)L1	5	1	1
YLR395C	1453	1879	1601
YLL067C	3	3	2
YLR359W	11865	17735	12682
YLR456W	224	349	250
YLR067C	1631	2430	1620
RDN58-2	0	0	0
YLR040C	271	386	343
YLL013C	4113	6400	4766
YLR320W	1660	2586	2023
YLL045C	28224	41941	35374
YLR352W	1080	1590	1211
YLR160C	0	0	0
YLR071C	5021	7010	5373
YLR286C	33369	46955	39582
YLR037C	129	182	139
YLL004W	1065	1654	1295
YLR100W	2983	4057	3542
YLR088W	3404	4689	3620
YLR216C	9314	13000	9644
YLL040C	15829	23847	18451
YLR154C-G	0	0	0
YLR410W-B	1004	1499	944
YLR410W-A	0	0	0
YLR157C-A	0	0	0
YLR256W-A	3818	5439	3724
YLR035C-A	55	142	87
YLR227W-A	0	0	0
YLR157C-B	71	55	30
YLR227W-B	7803	14409	8082
YPL071C	403	577	476
YPL208W	2184	2760	2292
YPL102C	3	5	2
YPL217C	7698	12170	9075
YPL197C	10	7	10
YPR139C	1781	2375	1913
YPR169W	4165	5784	4755
YPL257W	146	197	206
snR41	407	673	635
YPL009C	3654	6160	4900
YPL183C	6499	9870	7623
YPR065W	2907	3773	3357
YPR099C	1	3	2
YPR032W	2735	3572	2981
tM(CAU)P	2	1	1
YPR194C	743	1172	777
YPL084W	4236	6127	4695
YPR101W	482	760	598
YPL179W	4180	6399	5316
YPL224C	1305	1944	1527
tG(GCC)P2	0	5	4
snR17b	25656	36496	59244
YPR204W	290	382	330
YPR103W	6147	8539	6627
YPR155C	1148	1706	1163
YPL250W-A	5	2	0
YPL244C	1462	2158	1654
YPR141C	1588	2057	1654
YPL275W	16	21	22
YPR156C	6020	6763	6405
YPL240C	34220	45846	29762
YPR188C	1115	1672	1334
YPL111W	4350	5463	4343
YPR119W	2412	3547	3269
YPL192C	232	293	227
YPL059W	1793	2345	1935
YPL218W	7991	11199	9005
tI(AAU)P1	2	1	4
YPL264C	201	271	226
YPL198W	3635	5203	3845
YPL006W	3957	6448	4511
YPR161C	3213	4642	3517
YPL145C	10895	15379	12667
YPL092W	1542	2452	1501
YPR181C	18053	27215	21710
YPR171W	1733	2577	2159
YPR122W	4167	5775	4660
YPL091W	7376	10201	7471
YPL137C	7193	10463	6469
YPL014W	3189	3653	3531
YPL164C	1019	1379	997
YPL163C	3949	5705	4508
YPR069C	11583	16217	13111
YPL038W-A	22	20	12
YPR072W	4729	7089	5506
YPR067W	698	1064	846
YPL175W	1221	1712	1410
YPL088W	530	786	595
YPL125W	4075	6055	4449
YPL090C	39071	58434	48322
YPR120C	701	1016	793
YPR198W	1045	1535	1154
YPR053C	65	90	71
YPR106W	1325	2046	1602
YPL250C	732	972	818
YPL051W	647	823	661
YPR013C	745	921	917
YPL121C	13	24	28
YPR068C	446	637	543
YPR160W-A	0	0	0
YPR202W	134	224	156
YPL270W	3159	4698	3698
YPL248C	755	1094	888
YPR058W	679	1087	795
YPL004C	9560	14510	11807
YPR110C	9786	13494	10786
YPL042C	1497	2024	1598
YPR149W	12198	15971	13384
YPL172C	813	1303	865
YPR009W	1370	1889	1392
YPL039W	423	646	489
YPR051W	86	184	157
YPR134W	566	860	664
YPR118W	5402	7843	6267
YPR019W	4288	5957	4745
YPL213W	536	749	591
YPR121W	559	852	631
YPL054W	51	114	70
YPL123C	446	613	453
YPL144W	431	606	518
YPR036W-A	3080	5638	3417
YPL140C	875	1325	941
snR70	2626	3419	4335
YPL202C	1370	2051	1466
YPL114W	0	0	0
tI(AAU)P2	0	1	2
YPL045W	2057	3020	2146
YPL267W	411	541	502
YPL133C	805	1206	939
tA(AGC)P	10	8	17
YPL263C	6193	8207	6494
YPL097W	784	1230	837
YPR130C	15	18	16
YPR177C	1	0	0
YPR124W	4009	5580	3334
YPR157W	2024	1925	1898
YPR004C	3178	4756	3670
YPR080W	146112	206494	164891
YPL162C	825	1242	1052
YPL200W	35	39	38
YPR057W	921	1415	1006
YPR100W	67	104	88
YPR033C	14258	20261	15459
YPR174C	596	857	672
YPR151C	14	28	20
YPR180W	1281	1782	1482
YPL210C	6108	8036	6514
tC(GCA)P1	10	3	6
YPL155C	1327	1838	1634
YPL225W	4623	6557	5228
YPL081W	6019	9069	6621
YPL266W	3616	5183	4103
YPR002W	217	370	237
YPL127C	2964	4637	3765
YPR108W	6838	9963	7561
YPR172W	1186	1859	1418
tF(GAA)P2	5	14	11
YPR200C	93	133	113
YPL058C	8381	10967	5447
YPL073C	11	13	6
YPR197C	1	3	4
YPR088C	5218	7007	5476
YPL254W	1745	2588	1883
YPR010C-A	773	878	890
YPL223C	120	203	140
YPR056W	1239	1691	1387
YPR006C	412	577	457
YPR129W	2004	2763	2304
YPR199C	1005	1371	1084
YPL062W	11	4	15
YPR113W	4920	7159	5866
YPL166W	229	311	239
YPR020W	1234	1656	1546
YPL160W	52727	74688	58276
YPL147W	310	430	360
YPL107W	417	695	535
YPL169C	3823	5407	4419
YPR169W-A	0	0	0
YPR170W-A	0	0	0
YPR014C	142	185	146
YPR049C	1600	2280	1679
YPL087W	2008	3044	2293
YPR115W	5245	7332	5587
YPL184C	4603	6543	5639
YPR111W	944	1264	1058
YPR203W	4	9	6
YPR189W	6451	9310	7294
YPR034W	2818	4087	3359
YPL189W	177	224	199
YPL246C	2809	4469	3569
YPL020C	2092	3031	2301
YPL255W	540	827	631
YPL196W	740	1075	861
YPR135W	2498	3585	2727
YPR044C	15	27	28
YPL061W	39987	68620	44635
YPL238C	1	3	3
