	SRR6357070_ReadsPerGene.out.tab	SRR6357071_ReadsPerGene.out.tab	SRR6357072_ReadsPerGene.out.tab
YDR477W	3619	5497	4178
YDR254W	683	1001	774
YDR514C	815	1291	1034
YDR296W	1274	1913	1452
YDL216C	365	611	493
YDL100C	13184	18548	14459
YDL068W	4	7	11
YDL026W	0	1	2
YDL124W	6205	8737	6989
YDL227C	3158	5012	3648
YDL111C	2683	3823	3059
YDR324C	6334	9261	7295
YDL170W	742	1165	832
YDR317W	304	443	356
YDR436W	1209	1646	1322
YDR208W	4448	6288	5204
YDR386W	604	950	693
YDR504C	354	466	388
YDL220C	904	1277	1103
YDR396W	71	75	65
YDR258C	3415	4604	2917
YDR176W	2349	3275	2540
YDL099W	1669	2398	1864
YDR380W	3358	4514	3118
YDL110C	503	784	654
YDR148C	4814	6703	5171
YDL201W	2929	4164	3306
YDL107W	412	653	437
YDR515W	1055	1489	1033
YDR133C	4276	6730	6213
YDR378C	1388	2166	1658
YDR473C	577	803	738
YDR403W	113	212	138
YDR268W	868	1108	860
YDR409W	1612	2245	1832
YDR173C	488	740	562
YDR187C	14	26	18
YDR389W	3166	4589	3642
YDR417C	5	7	9
YDR165W	5348	7435	5804
YDL113C	1513	2237	1649
YDR426C	0	0	1
YDR521W	0	1	4
YDR086C	4599	6315	5771
YDL021W	241	377	283
YDR023W	32465	45749	35300
YDR394W	7477	10381	8120
YDR320C-A	400	522	583
YDR003W-A	171	268	193
YDR183W	437	640	483
YDR245W	4264	6458	4879
YDR431W	0	0	2
YDL154W	647	878	669
YDL184C	26527	25040	26240
YDR153C	2436	3572	2908
YDR014W-A	16	15	15
YDR434W	3485	4945	3648
YDL002C	981	1419	1062
YDR225W	23234	27915	24320
YDR418W	12597	15945	14617
YDR224C	20020	27918	23888
YDR502C	9193	15174	9287
YDR447C	23841	33337	28967
YDL039C	5527	8168	7934
YDL225W	3405	4848	3835
YDR259C	378	437	362
YDR495C	1393	2098	1567
YDL151C	3	5	2
YDR357C	511	744	638
YDR370C	990	1459	1127
YDR298C	5384	6721	5527
YDR276C	6201	8857	7899
YDL185C-A	3	10	5
YDR545C-A	0	0	0
tM(CAU)D	3	7	3
YDL247W	35	35	29
YDR406W	1600	2730	1919
YDR273W	147	226	192
YDR269C	1	0	1
YDR453C	335	418	297
YDR383C	467	712	539
YDR375C	1044	1646	1216
YDL161W	2202	3036	2520
YDL051W	3337	4522	3473
YDR084C	1167	1557	1295
YDL056W	2573	3542	2904
YDR344C	160	205	185
YDR320C	1927	2703	2338
YDR221W	3112	4358	3332
tI(AAU)D	1	2	6
YDL032W	0	0	1
YDR456W	2625	3876	3116
YDL036C	1450	2201	1689
tL(CAA)D	2	6	8
YDL217C	786	1230	948
snR63	9185	17135	25973
YDR334W	4893	7786	5906
YDL049C	289	368	300
YDL164C	1957	3140	2458
YDR384C	1922	3000	2198
YDR149C	4	5	7
YDR093W	8866	13796	10224
YDR071C	4498	5952	5065
YDL143W	11609	16301	12695
YDR032C	3123	5054	3856
tR(UCU)D	0	0	0
YDR063W	1015	1576	1485
YDL166C	1024	1541	1301
YDR004W	732	1225	915
YDR151C	1868	2546	2017
YDR037W	45451	65450	50659
YDL175C	737	1073	801
YDR286C	314	386	314
YDR172W	22765	31418	25265
YDL174C	2996	4489	3488
YDR080W	1927	2630	2004
YDR503C	557	759	655
YDR069C	1542	1838	1481
YDR047W	2553	4004	3403
YDR215C	167	125	120
YDR267C	1073	1652	1341
YDR142C	896	1376	1050
YDL212W	4688	6662	5538
YDR249C	609	1013	761
YDL209C	625	873	663
YDR044W	3186	4120	4845
tK(UUU)D	63	94	103
YDR311W	2137	2945	2252
YDL159C-B	0	0	0
YDR222W	3128	3315	2938
YDR510C-A	120	247	221
YDR401W	7	5	8
YDR207C	1576	2478	1958
