	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
YFL015C	1	3	1
YFL015W-A	0	1	1
YFL016C	1905	2819	2079
YFL017C	550	810	684
YFL017W-A	123	185	155
YFL018C	8581	12504	9476
YFL019C	7	7	4
YFL020C	8	12	15
YFL021C-A	12	15	22
YFL021W	781	1021	1009
YFL022C	11567	17494	13907
YFL023W	1529	2517	1948
YFL024C	1669	2498	1894
YFL025C	1935	2821	2187
YFL026W	10874	15293	13471
YFL027C	767	1167	1014
YFL028C	970	1325	1099
YFL029C	454	705	569
YFL030W	239	394	293
YFL031C-A	0	0	0
YFL031W	17557	25901	21009
YFL032W	0	3	0
YFL033C	3104	4738	3525
YFL034C-A	1122	1793	1413
YFL034C-B	827	1202	937
YFL034W	1883	2765	2124
YFL036W	5192	7817	5636
YFL037W	12909	19530	16727
YFL038C	4624	7257	5925
YFL039C	71796	100569	81518
YFL040W	3	10	14
YFL041W	2925	4297	3179
YFL041W-A	8	16	16
YFL042C	1022	1728	1121
YFL044C	1021	1458	1017
YFL045C	11411	15750	13106
YFL046W	366	487	384
YFL047W	1924	2955	2207
YFL048C	3336	4907	3758
YFL049W	1131	1484	1263
YFL050C	599	1013	701
YFL051C	4	9	5
YFL052W	57	89	80
YFL053W	14	13	20
YFL054C	317	605	418
YFL055W	183	266	153
YFL056C	430	560	411
YFL058W	7	8	11
YFL059W	104	214	137
YFL060C	115	152	112
YFL061W	0	4	4
YFL062W	5	6	12
YFL063W	1	1	1
YFL064C	14	23	22
YFL065C	0	9	7
YFL066C	145	240	199
YFL067W	3	2	5
YFL068W	0	0	0
YFR001W	1141	1834	1447
YFR002W	5003	7204	5698
YFR003C	376	664	521
YFR004W	3438	4759	3859
YFR005C	1300	1950	1555
YFR006W	3280	5047	3806
YFR007W	364	575	480
YFR008W	258	331	251
YFR009W	11139	15280	12551
YFR009W-A	157	40	36
YFR010W	4246	6339	5004
YFR010W-A	0	0	0
YFR011C	524	775	567
YFR012W	20	30	38
YFR012W-A	0	0	0
YFR013W	2722	4228	3201
YFR014C	1121	1648	1173
YFR015C	1120	1308	1103
YFR016C	2533	3784	2965
YFR017C	160	236	203
YFR018C	851	983	926
YFR019W	4656	6598	5453
YFR020W	218	335	246
YFR021W	1353	1766	1348
YFR022W	702	1035	779
YFR023W	26	52	33
YFR024C-A	3890	5920	4291
YFR025C	1306	1849	1496
YFR026C	33	65	48
YFR027W	140	208	143
YFR028C	2571	3883	3192
YFR029W	849	1163	980
YFR030W	4196	7918	3638
YFR031C	2355	3517	2750
YFR031C-A	35720	49993	43165
YFR032C	23	19	25
YFR032C-A	5611	6760	7518
YFR032C-B	0	3	2
YFR033C	1446	1904	1470
YFR034C	823	1125	893
YFR034W-A	9	10	8
YFR035C	3	4	5
YFR036W	130	216	171
YFR036W-A	2	2	5
YFR037C	4249	7055	5597
YFR038W	2271	3320	2462
YFR039C	1396	2208	1663
YFR040W	5251	7518	5511
YFR041C	891	1406	1140
YFR042W	397	543	439
YFR043C	378	488	404
YFR044C	11515	18305	13805
YFR045W	313	456	375
YFR046C	424	540	420
YFR047C	1511	2190	1650
YFR048W	1375	2147	1555
YFR049W	281	476	358
YFR050C	3365	5283	4259
YFR051C	6442	8559	7278
YFR052C-A	263	491	274
YFR052W	3250	5014	3868
YFR053C	3640	6767	3686
YFR054C	6	27	19
YFR055W	1853	2643	1830
YFR056C	0	0	1
YFR057W	0	0	1
YGL001C	2364	3681	2917
YGL002W	720	1108	811
YGL003C	912	1441	1159
YGL004C	656	913	692
YGL005C	860	1232	962
YGL006W	4087	5298	4371
YGL006W-A	0	0	0
YGL007C-A	0	0	0
YGL007W	1	3	2
YGL008C	370512	524977	403077
YGL009C	34759	50911	38305
YGL010W	159	224	199
YGL011C	3870	5217	4346
YGL012W	11212	16609	12006
YGL013C	3921	5725	4430
YGL014C-A	0	1	0
YGL014W	6011	8802	7594
YGL015C	3	3	5
YGL016W	7737	9791	7545
YGL017W	811	1162	896
YGL018C	290	415	351
YGL019W	2174	3233	2407
YGL020C	990	1727	1454
YGL021W	2048	2961	2597
YGL022W	13105	20033	15519
YGL023C	2033	3093	2305
YGL024W	2	1	0
YGL025C	699	1017	884
YGL026C	15537	22093	17802
YGL027C	6055	9102	6570
YGL028C	5867	8398	6844
YGL029W	405	643	545
YGL030W	15151	20750	19989
YGL031C	22745	37959	33462
YGL032C	251	346	275
YGL033W	6	9	12
YGL034C	2	5	2
YGL035C	1552	2515	2037
YGL036W	2399	3423	2540
YGL037C	3214	4816	3678
YGL038C	2600	3564	2843
YGL039W	1498	2146	1610
YGL040C	2507	3811	2785
YGL041C	0	1	0
YGL041C-B	1	1	1
YGL041W-A	549	795	587
YGL042C	3	2	2
YGL043W	2291	3347	2442
YGL044C	486	854	569
YGL045W	684	954	710
YGL047W	351	482	371
YGL048C	6683	9464	7307
YGL049C	5417	7432	6083
YGL050W	420	644	533
YGL051W	30	39	39
YGL052W	3	7	5
YGL053W	507	680	513
YGL054C	1330	1923	1671
YGL055W	29005	40647	30702
YGL056C	2114	3068	2523
YGL057C	507	736	567
YGL058W	1177	1506	1173
YGL059W	496	672	524
YGL060W	1434	2132	1554
YGL061C	413	573	513
YGL062W	20644	32042	9369
YGL063C-A	0	0	0
YGL063W	325	414	351
YGL064C	826	1227	908
YGL065C	1748	2387	1953
YGL066W	1087	1478	1208
YGL067W	1913	2643	1990
YGL068W	1331	2166	1615
YGL069C	8	10	3
YGL070C	401	532	473
YGL071W	2310	3430	2634
YGL072C	31	69	36
YGL073W	2352	3501	2557
YGL074C	1	0	3
YGL075C	323	542	384
YGL076C	57847	78682	66348
YGL077C	4740	6635	5220
YGL078C	7279	10631	8227
YGL079W	446	755	502
YGL080W	404	727	526
YGL081W	45	98	64
YGL082W	1602	2377	1765
YGL083W	1642	2460	1941
YGL084C	2380	3694	2896
YGL085W	363	574	420
YGL086W	2417	3185	2514
YGL087C	633	855	680
YGL088W	31	57	102
YGL089C	2	1	4
YGL090W	454	673	512
YGL091C	800	1313	1062
YGL092W	9841	14022	10887
YGL093W	1759	2602	2006
YGL094C	4579	6294	4740
YGL095C	1448	2051	1570
YGL096W	174	207	161
YGL097W	3734	5552	4427
YGL098W	495	730	522
YGL099W	5300	7654	6134
YGL100W	2358	3455	2703
YGL101W	1003	1361	1142
YGL102C	4	8	8
YGL103W	42489	64064	57800
YGL104C	327	563	372
YGL105W	17574	25280	20867
YGL106W	2190	3180	2746
YGL107C	1647	2547	1878
YGL108C	241	388	324
YGL109W	0	4	2
YGL110C	1164	1787	1420
YGL111W	3020	4614	3566
YGL112C	2705	3749	2976
YGL113W	1074	1575	1174
YGL114W	1459	2183	1651
YGL115W	2172	3300	2429
YGL116W	974	1516	1289
YGL117W	215	250	203
YGL118C	1	2	1
YGL119W	1029	1488	1206
YGL120C	9490	13861	10757
YGL121C	54	62	39
YGL122C	4214	5712	4529
YGL123C-A	0	6	2
YGL123W	86047	118985	98551
YGL124C	872	1349	989
YGL125W	1407	1983	1598
YGL126W	1050	980	1001
YGL127C	219	412	364
YGL128C	334	539	401
YGL129C	1602	2285	1608
YGL130W	1533	2128	1811
YGL131C	2623	3772	2676
YGL132W	2	2	3
YGL133W	2403	3372	2730
YGL134W	674	994	689
YGL135W	36843	53980	45841
YGL136C	470	732	562
YGL137W	19929	28530	21879
YGL138C	3	2	2
YGL139W	3791	5623	4278
YGL140C	5594	8471	6309
YGL141W	1491	2272	1723
YGL142C	1503	2418	1811
YGL143C	743	1166	821
YGL144C	1076	1672	1195
YGL145W	1568	2172	1799
YGL146C	93	131	122
YGL147C	40118	53403	47554
YGL148W	11161	16648	13167
YGL149W	0	0	0
YGL150C	6978	10672	7863
YGL151W	3603	5124	3965
YGL152C	5	15	19
YGL153W	692	1029	747
YGL154C	220	351	263
YGL155W	1433	2252	1664
YGL156W	493	798	519
YGL157W	1569	2225	1866
YGL158W	73	107	78
YGL159W	905	1219	964
YGL160W	1538	2061	1638
YGL161C	1266	1810	1472
YGL162W	547	771	741
YGL163C	1114	1635	1302
YGL164C	427	711	572
YGL165C	5	10	6
YGL166W	638	864	722
YGL167C	11527	15902	12832
YGL168W	2	1	2
YGL169W	1373	2087	1614
YGL170C	11	16	21
YGL171W	3271	4503	3338
YGL172W	1025	2260	1835
YGL173C	29227	42985	31511
YGL174W	278	419	357
YGL175C	269	373	266
YGL176C	1060	1480	1195
YGL177W	19	24	21
YGL178W	3351	4708	3717
YGL179C	1175	1359	1171
YGL180W	1189	1893	1240
YGL181W	1304	1701	1306
YGL182C	5	12	5
YGL183C	24	28	24
YGL184C	120	246	127
YGL185C	552	828	634
YGL186C	1757	2667	1940
YGL187C	1143	1349	1302
YGL188C	2	2	0
YGL188C-A	2	3	4
YGL189C	34780	45576	42439
YGL190C	2382	3518	2751
YGL191W	1352	1847	1549
YGL192W	3	3	18
YGL193C	0	0	0
YGL194C	1081	1606	1170
YGL194C-A	55	66	52
YGL195W	54506	78568	62343
YGL196W	2006	2706	2238
YGL197W	5308	7868	6046
YGL198W	1080	1757	1544
YGL199C	32	52	33
YGL200C	4770	6446	5315
YGL201C	3507	5130	3962
YGL202W	13036	20603	16640
YGL203C	3060	4607	3517
YGL204C	62	120	89
YGL205W	46	78	64
YGL206C	38658	56529	43922
YGL207W	11458	17618	13360
YGL208W	554	884	556
YGL209W	1178	2055	1925
YGL210W	613	975	757
YGL211W	987	1644	1246
YGL212W	373	511	412
YGL213C	1960	2903	2430
YGL214W	4	2	3
YGL215W	5835	8193	6472
YGL216W	1774	2556	2107
YGL217C	0	0	0
YGL218W	2	3	1
YGL219C	1277	1963	1482
YGL220W	586	1050	773
YGL221C	2556	3742	2971
YGL222C	423	584	482
YGL223C	1258	1790	1439
YGL224C	774	1110	966
YGL225W	6331	9518	8233
YGL226C-A	430	585	601
YGL226W	171	236	222
YGL227W	1517	2169	1478
YGL228W	4380	6585	5034
YGL229C	657	980	685
YGL230C	9	16	22
YGL231C	1554	2111	1825
YGL232W	1707	2668	2292
YGL233W	3373	4974	3666
YGL234W	18437	26339	18269
YGL235W	6	9	10
YGL236C	993	1652	1009
YGL237C	369	544	457
YGL238W	11065	15470	11833
YGL239C	0	1	0
YGL240W	274	366	346
YGL241W	2139	2988	2434
YGL242C	646	1013	879
YGL243W	711	978	766
YGL244W	1538	2383	1916
YGL245W	41393	58842	45549
YGL246C	1347	2039	1589
YGL247W	266	402	310
YGL248W	1079	1491	1201
YGL249W	65	92	76
YGL250W	94	160	152
YGL251C	538	777	586
YGL252C	2271	3532	2963
YGL253W	56482	86702	62917
YGL254W	422	600	511
YGL255W	1197	1786	1954
YGL256W	1484	2261	1678
YGL257C	1719	2774	2061
YGL258W	12	14	15
YGL258W-A	3	4	3
YGL259W	16	20	10
YGL260W	0	0	0
YGL261C	2	0	3
YGL262W	1	0	1
YGL263W	17	19	22
YGR001C	1876	3061	2401
YGR002C	1122	1533	1353
YGR003W	1455	2102	1665
YGR004W	832	1135	900
YGR005C	1797	2551	1977
YGR006W	289	399	306
YGR007W	1965	2989	2410
YGR008C	285	487	370
YGR009C	1852	3007	2197
YGR010W	791	1128	896
YGR011W	87	143	98
YGR012W	1190	1833	1490
YGR013W	1232	1785	1362
YGR014W	10907	17557	13984
YGR015C	330	462	352
YGR016W	140	173	142
YGR017W	1821	2896	2293
YGR018C	10	12	14
YGR019W	1328	2175	1543
YGR020C	1881	2470	2264
YGR021W	534	794	624
YGR022C	2	1	5
YGR023W	346	452	348
YGR024C	1192	1639	1370
YGR025W	2	4	3
YGR026W	2548	4283	3268
YGR027C	13262	20331	18974
YGR027W-A	0	0	0
YGR027W-B	118066	197373	120873
YGR028W	972	1463	1067
YGR029W	679	939	716
YGR030C	354	402	396
YGR031C-A	1	12	12
YGR031W	824	1148	907
YGR032W	4063	6694	4838
YGR033C	1297	1897	1419
YGR034W	16720	23378	21129
YGR035C	84	194	214
YGR035W-A	0	0	0
YGR036C	453	694	492
YGR037C	1890	3176	2858
YGR038C-A	0	0	0
YGR038C-B	8198	15480	8775
YGR038W	823	1125	862
YGR039W	19	37	41
YGR040W	966	1455	1011
YGR041W	1713	2308	1828
YGR042W	565	756	512
YGR043C	123	213	125
YGR044C	1233	1776	1324
YGR045C	7	8	4
YGR046W	774	1301	933
YGR047C	2043	3227	2456
YGR048W	1144	1729	1254
YGR049W	245	425	394
YGR050C	42	51	67
YGR051C	0	1	1
YGR052W	391	399	351
YGR053C	57	137	82
YGR054W	8719	12741	9783
YGR055W	5152	8605	5525
YGR056W	2458	3466	2675
YGR057C	487	827	611
YGR058W	512	754	632
YGR059W	27	25	29
YGR060W	10826	15130	14576
YGR061C	31459	45979	33366
YGR062C	460	733	535
YGR063C	409	666	526
YGR064W	9	22	13
YGR065C	1228	1896	1182
YGR066C	18	23	8
YGR067C	166	233	152
YGR068C	862	1138	891
YGR068W-A	0	0	0
YGR069W	0	1	1
YGR070W	1235	1616	1172
YGR071C	1419	2127	1700
YGR072W	540	829	607
YGR073C	40	74	74
YGR074W	534	714	520
YGR075C	174	249	216
YGR076C	317	498	365
YGR077C	1419	2024	1707
YGR078C	1197	2206	1630
YGR079W	953	1731	1414
YGR080W	1099	1543	1291
YGR081C	1057	1519	1173
YGR082W	1791	2575	2039
YGR083C	5582	8226	6360
YGR084C	1094	1674	1302
YGR085C	16624	24663	22020
YGR086C	11820	17551	14081
YGR087C	34	45	50
YGR088W	447	680	484
YGR089W	2716	3938	3139
YGR090W	11800	17636	13968
YGR091W	821	1226	953
YGR092W	1039	1607	1265
YGR093W	1445	2007	1514
YGR094W	56009	77929	60358
YGR095C	909	1383	1118
YGR096W	185	284	227
YGR097W	2907	4317	3262
YGR098C	3496	4943	3830
YGR099W	1081	1562	1229
YGR100W	2478	3524	2558
YGR101W	719	1172	848
YGR102C	418	555	445
YGR103W	14014	20647	15106
YGR104C	495	739	607
YGR105W	245	421	349
YGR106C	7801	10401	8593
YGR107W	4	9	5
YGR108W	1483	2183	2110
YGR109C	222	280	251
YGR109W-A	0	0	0
YGR109W-B	594	822	588
YGR110W	149	216	145
YGR111W	1140	1737	1413
YGR112W	512	753	544
YGR113W	664	1062	890
YGR114C	0	0	0
YGR115C	9	7	10
YGR116W	19080	26484	20513
YGR117C	1768	2413	1777
YGR118W	19598	27732	23954
YGR119C	3290	4970	3797
YGR120C	578	821	665
YGR121C	238	399	308
YGR121W-A	6	5	6
YGR122C-A	2	3	1
YGR122W	793	1144	832
YGR123C	4182	6271	4565
YGR124W	31392	43088	33543
YGR125W	3173	4380	3412
YGR126W	358	590	481
YGR127W	552	857	688
YGR128C	6240	8632	6538
YGR129W	234	354	300
YGR130C	4223	6129	4625
YGR131W	38	61	46
YGR132C	2568	4037	2952
YGR133W	204	336	246
YGR134W	1715	2676	2201
YGR135W	4303	6538	5077
YGR136W	2859	3940	3223
YGR137W	673	739	682
YGR138C	8650	8910	10918
YGR139W	0	0	0
YGR140W	1734	2673	2067
YGR141W	265	623	481
YGR142W	3326	4199	2486
YGR143W	2054	2853	2302
YGR144W	49	71	59
YGR145W	4067	6296	4670
YGR146C	1187	1577	1272
YGR146C-A	2	2	1
YGR147C	1534	2254	1554
YGR148C	16967	27221	23757
YGR149W	664	1027	735
YGR150C	1855	2711	1906
YGR151C	104	145	121
YGR152C	998	1314	1077
YGR153W	112	184	139
YGR154C	197	336	221
YGR155W	29613	43993	33170
YGR156W	576	824	617
YGR157W	17724	28101	18692
YGR158C	1013	1636	1242
YGR159C	14299	22330	17820
YGR160W	5	9	3
YGR161C	487	784	593
YGR161C-C	0	0	0
YGR161C-D	6168	10240	6196
YGR161W-A	0	0	0
YGR161W-B	22070	32335	21279
YGR161W-C	61	116	102
YGR162W	30084	42956	32690
YGR163W	969	1511	1175
YGR164W	0	0	0
YGR165W	1105	1756	1269
YGR166W	1309	1969	1542
YGR167W	2280	3692	2802
YGR168C	406	630	481
YGR169C	540	809	620
YGR169C-A	93	150	114
YGR170W	3133	4473	3562
YGR171C	875	1325	989
YGR172C	1343	1919	1489
YGR173W	2817	3898	2991
YGR174C	186	387	281
YGR174W-A	0	0	0
YGR175C	12269	19016	16648
YGR176W	5	5	16
YGR177C	1676	2483	2301
YGR178C	7521	10715	8343
YGR179C	579	876	662
YGR180C	11566	16871	13966
YGR181W	463	690	570
YGR182C	135	196	161
YGR183C	124	254	189
YGR184C	11406	16921	12330
YGR185C	11066	16703	13549
YGR186W	4610	6752	5274
YGR187C	1899	2835	2266
YGR188C	546	946	716
YGR189C	9606	13303	10939
YGR190C	0	2	3
YGR191W	4310	6754	5339
YGR192C	693770	1002018	764445
YGR193C	2588	3611	2891
YGR194C	707	1094	783
YGR195W	1317	1805	1425
YGR196C	1406	1919	1381
YGR197C	556	791	557
YGR198W	3968	6053	4426
YGR199W	1044	1831	1497
YGR200C	6588	9540	6925
YGR201C	255	440	333
YGR202C	1496	2133	1638
YGR203W	153	195	188
YGR204C-A	0	0	0
YGR204W	20445	32827	20926
YGR205W	479	829	615
YGR206W	159	255	216
YGR207C	1664	2209	1704
YGR208W	2122	2883	2181
YGR209C	1804	2799	2120
YGR210C	2665	4097	3075
YGR211W	7845	11337	8036
YGR212W	403	608	458
YGR213C	69	92	95
YGR214W	38145	56364	46309
YGR215W	182	351	269
YGR216C	1195	1881	1384
YGR217W	4064	5853	4433
YGR218W	15258	20834	15702
YGR219W	0	0	0
YGR220C	1119	1831	1284
YGR221C	672	1051	760
YGR222W	461	656	523
YGR223C	864	1257	975
YGR224W	9	15	15
YGR225W	36	60	46
YGR226C	0	0	0
YGR227W	1419	1942	1475
YGR228W	4	3	8
YGR229C	5335	8727	6568
YGR230W	117	141	171
YGR231C	2525	3975	2841
YGR232W	1118	1676	1370
YGR233C	7265	10409	8046
YGR234W	22118	28155	26109
YGR235C	976	1362	1026
YGR236C	4	7	5
YGR237C	1869	2729	1978
YGR238C	844	1267	946
YGR239C	221	430	289
YGR240C	65550	97548	72423
YGR240C-A	0	0	0
YGR241C	1883	2503	2004
YGR242W	0	1	0
YGR243W	30	62	53
YGR244C	2585	4392	2950
YGR245C	6576	9491	7213
YGR246C	1409	2036	1558
YGR247W	429	650	489
YGR248W	182	319	215
YGR249W	805	1011	762
YGR250C	6394	7760	6365
YGR251W	445	667	510
YGR252W	1025	1570	1181
YGR253C	4294	6653	4968
YGR254W	28165	45633	37984
YGR255C	1530	2303	1751
YGR256W	190	319	207
YGR257C	1258	2058	1438
YGR258C	1544	2523	1669
YGR259C	4	4	6
YGR260W	5733	9034	6460
YGR261C	5937	7876	6067
YGR262C	789	1204	922
YGR263C	517	762	540
YGR264C	25366	33771	26837
YGR265W	0	0	0
YGR266W	2207	2995	2377
YGR267C	2232	2975	2514
YGR268C	498	831	718
YGR269W	14	10	15
YGR270C-A	0	0	0
YGR270W	7143	10811	7903
YGR271C-A	926	1318	1112
YGR271W	5518	7783	5813
YGR273C	1	1	0
YGR274C	2675	3786	3069
YGR275W	703	1059	841
YGR276C	2078	3085	2433
YGR277C	1152	1539	1192
YGR278W	728	1010	789
YGR279C	20548	29327	26351
YGR280C	231	438	380
YGR281W	7165	11838	11169
YGR282C	18396	28949	22804
YGR283C	1034	1547	1226
YGR284C	3261	4849	3689
YGR285C	23865	36147	28875
YGR286C	1802	2730	1662
YGR287C	239	358	321
YGR288W	312	489	355
YGR289C	297	415	294
YGR290W	1	0	1
YGR291C	0	0	0
YGR292W	60	70	53
YGR293C	1	1	1
YGR294W	9	11	3
YGR295C	2966	4333	3464
YGR296C-A	4	9	0
YGR296C-B	2	0	0
YGR296W	547	11	1087
YHL001W	5888	9105	8346
YHL002C-A	4	6	10
YHL002W	1691	2236	1801
YHL003C	2863	4328	2952
YHL004W	1550	2582	1782
YHL005C	1	1	3
YHL006C	29	61	60
YHL006W-A	2	7	2
YHL007C	4631	7119	5750
YHL008C	1888	2756	2122
YHL009C	725	1092	824
YHL009W-A	167	158	176
YHL009W-B	1648	2187	1604
YHL010C	592	925	669
YHL011C	4410	6338	5472
YHL012W	33	44	24
YHL013C	790	1272	942
YHL014C	438	656	480
YHL015W	30560	45454	40224
YHL015W-A	0	0	0
YHL016C	212	296	268
YHL017W	2398	3369	2571
YHL018W	94	134	121
YHL019C	771	1107	867
YHL019W-A	3	10	9
YHL020C	1181	1867	1390
YHL021C	1965	2669	1756
YHL022C	51	65	52
YHL023C	2298	3444	2662
YHL024W	139	137	140
YHL025W	1040	1223	1174
YHL026C	399	616	531
YHL027W	2457	3667	3043
YHL028W	502	782	674
YHL029C	1705	2690	2224
YHL030W	10005	15292	11064
YHL030W-A	2	0	2
YHL031C	616	925	798
YHL032C	1595	2386	1911
YHL033C	27712	38644	31591
YHL034C	5723	10469	8034
YHL034W-A	4	0	3
YHL035C	3343	4398	3586
YHL036W	374	516	345
YHL037C	3	7	6
YHL038C	821	1261	918
YHL039W	2655	4171	3200
YHL040C	1728	2127	1749
YHL041W	0	2	0
YHL042W	25	45	28
YHL043W	7	5	5
YHL044W	108	147	114
YHL045W	1	0	3
YHL046C	2	3	0
YHL046W-A	0	0	0
YHL047C	1085	1575	1378
YHL048C-A	0	0	0
YHL048W	920	1264	988
YHL049C	211	300	241
YHL050C	257	451	354
YHL050W-A	2	0	2
YHR001W	1859	2761	2196
YHR001W-A	122	177	166
YHR002W	349	490	394
YHR003C	1915	2669	2147
YHR004C	834	1157	871
YHR005C	2815	3868	3080
YHR005C-A	1072	1824	1310
YHR006W	1554	2135	1701
YHR007C	20101	29937	27930
YHR007C-A	4	5	10
YHR008C	2978	3808	3523
YHR009C	4140	6582	4831
YHR010W	23522	33324	28767
YHR011W	475	709	518
YHR012W	1219	1741	1328
YHR013C	1874	2877	2252
YHR014W	13	10	7
YHR015W	216	258	222
YHR016C	974	1577	1171
YHR017W	1103	1540	1233
YHR018C	1591	2228	1787
YHR019C	24779	35681	28812
YHR020W	23710	33124	24947
YHR021C	10882	16031	17504
YHR021W-A	17	16	19
YHR022C	27	56	31
YHR022C-A	0	0	0
YHR023W	7387	10315	8632
YHR024C	2326	3961	2827
YHR025W	8119	11616	9809
YHR026W	3508	5572	4474
YHR027C	20250	29509	21736
YHR028C	4904	7468	5527
YHR028W-A	1	1	3
YHR029C	581	865	699
YHR030C	3989	5013	3927
YHR031C	1319	1804	1480
YHR032C-A	0	0	0
YHR032W	2724	3995	3294
YHR032W-A	21	31	25
YHR033W	528	631	590
YHR034C	491	714	596
YHR035W	152	248	205
YHR036W	381	614	490
YHR037W	3136	4536	3415
YHR038W	306	428	299
YHR039C	4834	7239	5346
YHR039C-A	2869	4697	4125
YHR040W	443	713	637
YHR041C	835	1062	1002
YHR042W	8943	13243	11950
YHR043C	769	1233	900
YHR044C	199	268	164
YHR045W	1952	2956	2167
YHR046C	632	1014	781
YHR047C	7090	10048	7507
YHR048W	174	302	217
YHR049C-A	0	2	3
YHR049W	3658	4933	3768
YHR050W	2202	3245	2420
YHR050W-A	1	0	0
YHR051W	1091	1536	1364
YHR052W	4345	6156	5088
YHR052W-A	0	2	4
YHR053C	700	1290	921
YHR054C	697	839	819
YHR054W-A	0	2	4
YHR055C	700	1290	921
YHR056C	3786	5305	4159
YHR056W-A	1	3	3
YHR057C	744	1117	866
YHR058C	710	909	788
YHR059W	214	347	254
YHR060W	610	848	701
YHR061C	477	670	559
YHR062C	1067	1722	1328
YHR063C	2650	3792	3077
YHR063W-A	1	3	1
YHR064C	34184	45898	36674
YHR065C	3582	5080	4019
YHR066W	2893	4502	3513
YHR067W	330	606	417
YHR068W	9753	14403	11105
YHR069C	1688	2547	2075
YHR069C-A	38	43	37
YHR070C-A	3	0	1
YHR070W	2079	2955	2455
YHR071C-A	8	15	8
YHR071W	2448	3502	2369
YHR072W	3182	4983	4006
YHR072W-A	215	368	337
YHR073C-B	0	0	0
YHR073W	5647	8307	6165
YHR073W-A	0	0	0
YHR074W	6321	8579	6323
YHR075C	226	312	300
YHR076W	1052	1654	1261
YHR077C	3615	5370	4109
YHR078W	1438	2168	1645
YHR079C	2698	4255	3419
YHR079C-A	0	1	0
YHR080C	2324	3519	2462
YHR081W	480	832	728
YHR082C	7766	10921	8142
YHR083W	1996	2667	2141
YHR084W	2248	3349	2507
YHR085W	1100	1806	1443
YHR086W	1513	2227	1692
YHR086W-A	0	1	1
YHR087W	128	183	152
YHR088W	1214	1890	1546
YHR089C	2383	3908	3508
YHR090C	544	772	599
YHR091C	999	1494	1098
YHR092C	1353	1753	1506
YHR093W	3	2	1
YHR094C	8416	12659	11183
YHR095W	0	0	1
YHR096C	70	153	108
YHR097C	892	1320	996
YHR098C	9698	14052	10624
YHR099W	24502	35596	28587
YHR100C	336	581	484
YHR101C	247	420	352
YHR102W	3014	4306	3565
YHR103W	5092	7540	5877
YHR104W	2058	2760	2150
YHR105W	150	206	158
YHR106W	556	892	654
YHR107C	3098	4568	3766
YHR108W	6771	9925	8005
YHR109W	668	858	708
YHR110W	890	1314	991
YHR111W	1377	2026	1644
YHR112C	872	1453	946
YHR113W	2278	3627	2627
YHR114W	1703	2571	1962
YHR115C	1441	2231	1808
YHR116W	98	264	161
YHR117W	3194	5111	3959
YHR118C	745	940	826
YHR119W	3037	4605	3413
YHR120W	1618	2449	1770
YHR121W	989	1394	1124
YHR122W	751	1198	918
YHR123W	1579	2305	1855
YHR124W	67	98	101
YHR125W	2	0	0
YHR126C	1	2	1
YHR127W	703	956	787
YHR128W	4383	6775	5557
YHR129C	512	793	587
YHR130C	14	54	49
YHR131C	1456	2286	1697
YHR131W-A	1	2	0
YHR132C	2874	4301	3359
YHR132W-A	440	705	584
YHR133C	2978	4268	3269
YHR134W	465	642	553
YHR135C	3136	4707	4001
YHR136C	1269	1878	1752
YHR137C-A	0	1	0
YHR137W	3160	4080	3392
YHR138C	276	378	325
YHR139C	25	28	29
YHR139C-A	1	2	2
YHR140W	51	81	88
YHR141C	19561	28364	26796
YHR142W	1010	1761	1266
YHR143W	7707	11126	9332
YHR143W-A	126	256	244
YHR144C	974	1312	1018
YHR145C	1	2	2
YHR146W	4478	6855	5530
YHR147C	882	1291	881
YHR148W	806	1113	998
YHR149C	1920	3012	2329
YHR150W	656	993	792
YHR151C	1074	1621	1266
YHR152W	356	554	445
YHR153C	78	108	103
YHR154W	3293	4766	3676
YHR155W	2813	4247	3013
YHR156C	280	369	264
YHR157W	43	67	50
YHR158C	3997	5757	4578
YHR159W	475	669	492
YHR160C	7	27	18
YHR161C	1389	2130	1500
YHR162W	1774	3042	2431
YHR163W	2871	3879	3329
YHR164C	1841	2931	2154
YHR165C	13607	19459	15005
YHR165W-A	0	2	0
YHR166C	586	909	683
YHR167W	233	417	311
YHR168W	452	778	539
YHR169W	2052	3168	2442
YHR170W	8426	11547	8606
YHR171W	543	809	565
YHR172W	1344	1753	1476
YHR173C	3	4	9
YHR174W	494694	809936	593664
YHR175W	833	1075	961
YHR175W-A	9	24	20
YHR176W	198	273	187
YHR177W	67	86	58
YHR178W	709	960	757
YHR179W	13709	21777	19793
YHR180C-B	0	0	0
YHR180W	38	43	50
YHR180W-A	0	0	0
YHR181W	961	1421	1179
YHR182C-A	3	8	2
YHR182W	1144	1542	1186
YHR183W	21032	30777	24616
YHR184W	140	148	149
YHR185C	6	4	4
YHR186C	4354	6494	5003
YHR187W	865	1122	937
YHR188C	4586	6786	5393
YHR189W	123	221	160
YHR190W	6182	8535	7344
YHR191C	127	206	189
YHR192W	899	1201	981
YHR193C	13907	19144	16323
YHR193C-A	5	4	4
YHR194W	588	900	661
YHR195W	904	1412	956
YHR196W	4018	5714	4571
YHR197W	4011	5946	4849
YHR198C	536	785	647
YHR199C	1147	1850	1461
YHR199C-A	37	75	40
YHR200W	4189	5823	4583
YHR201C	1365	2283	1844
