	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
YBR089C-A	633	960	821
YBR089W	0	3	5
YBR090C	122	285	211
YBR091C	122	193	186
YBR092C	9230	11971	10700
YBR093C	6403	9451	7466
YBR094W	2323	3109	2341
YBR095C	1133	1547	1120
YBR096W	1283	1909	1578
YBR097W	2651	3720	2829
YBR098W	500	771	524
YBR099C	31	48	35
YBR101C	3522	4795	3474
YBR102C	1984	2873	2208
YBR103C-A	0	0	0
YBR103W	913	1349	996
YBR104W	818	1480	1064
YBR105C	970	1884	1330
YBR106W	9001	12435	9612
YBR107C	230	348	261
YBR108W	1318	1822	1672
YBR109C	3220	4306	3565
YBR109W-A	10	23	17
YBR110W	1765	2545	2007
YBR111C	1995	3026	2290
YBR111W-A	227	281	226
YBR112C	5484	7929	6919
YBR113W	3	8	2
YBR114W	1338	2177	1525
YBR115C	0	0	0
YBR116C	54	50	42
YBR117C	142	242	189
YBR118W	551402	798219	625258
YBR119W	430	625	552
YBR120C	231	378	230
YBR121C	30328	43143	32821
YBR121C-A	0	0	0
YBR122C	706	1088	815
YBR123C	1255	1875	1468
YBR124W	0	1	0
YBR125C	926	1348	1019
YBR126C	5603	8314	6277
YBR126W-A	377	539	485
YBR126W-B	57	60	64
YBR127C	29530	42766	34123
YBR128C	126	169	137
YBR129C	732	1262	920
YBR130C	2055	3087	2510
YBR131C-A	0	0	0
YBR131W	686	1178	865
YBR132C	823	1318	811
YBR133C	2871	3906	3037
YBR134W	2	1	2
YBR135W	644	690	670
YBR136W	4078	5626	4056
YBR137W	477	676	585
YBR138C	397	540	437
YBR139W	2336	3591	2918
YBR140C	12860	19139	14324
YBR141C	577	932	721
YBR141W-A	0	0	0
YBR142W	5581	7894	5973
YBR143C	13414	19043	14909
YBR144C	4	2	3
YBR145W	363	581	423
YBR146W	1403	2218	1579
YBR147W	47	74	40
YBR148W	87	113	109
YBR149W	3531	5545	4144
YBR150C	1747	2491	1930
YBR151W	1510	2644	1965
YBR152W	441	691	513
YBR153W	577	855	657
YBR154C	2821	4092	3247
YBR155W	1481	2449	1751
YBR156C	843	1195	984
YBR157C	512	737	503
YBR158W	10200	14629	10888
YBR159W	3047	5011	4030
YBR160W	1137	1589	1287
YBR161W	502	709	571
YBR162C	16022	23205	20581
YBR162W-A	295	379	389
YBR163W	1218	1866	1487
YBR164C	1418	1989	1675
YBR165W	546	755	659
YBR166C	1493	2135	1682
YBR167C	179	304	276
YBR168W	485	738	580
YBR169C	2329	3419	2252
YBR170C	1842	3017	2167
YBR171W	1457	2085	1710
YBR172C	4084	6197	4879
YBR173C	966	1424	1206
YBR174C	2	3	0
YBR175W	625	1015	747
YBR176W	522	728	508
YBR177C	2377	3348	2989
YBR178W	0	2	4
YBR179C	1789	2584	1846
YBR180W	15	23	16
YBR181C	43046	65034	53767
YBR182C	324	464	385
YBR182C-A	0	1	1
YBR183W	410	512	398
YBR184W	223	290	189
YBR185C	636	1015	746
YBR186W	30	29	26
YBR187W	2987	4279	3561
YBR188C	160	228	205
YBR189W	39051	57936	48832
YBR190W	1	5	1
YBR191W	31933	43586	39885
YBR191W-A	0	0	0
YBR192W	692	1026	787
YBR193C	461	644	554
YBR194W	106	166	128
YBR195C	771	1134	881
YBR196C	84039	130100	97086
YBR196C-A	1	3	2
YBR196C-B	0	0	0
YBR197C	449	698	621
YBR198C	3299	4998	3784
YBR199W	3437	5233	3894
YBR200W	1497	2123	1780
YBR200W-A	0	0	0
YBR201C-A	19	18	18
YBR201W	318	435	327
YBR202W	3341	4673	4126
YBR203W	514	720	542
YBR204C	648	921	704
YBR205W	3205	4753	3629
YBR206W	399	662	549
YBR207W	1693	2715	2120
YBR208C	4156	6120	8605
YBR209W	1	3	1
YBR210W	328	468	356
YBR211C	614	827	605
YBR212W	2281	3208	2599
YBR213W	152	279	223
YBR214W	1225	1498	1307
YBR215W	1088	1554	1228
YBR216C	1515	2162	1694
YBR217W	178	268	182
YBR218C	18125	26796	20667
YBR219C	0	0	0
YBR220C	1595	2412	1892
YBR221C	11281	16794	12222
YBR221W-A	0	0	0
YBR222C	3695	5283	4291
YBR223C	560	872	678
YBR223W-A	0	0	0
YBR224W	19	13	17
YBR225W	1371	1844	1405
YBR226C	0	0	2
YBR227C	1332	1976	1510
YBR228W	352	526	358
YBR229C	5152	7759	6048
YBR230C	600	899	711
YBR230W-A	22	19	28
YBR231C	215	367	324
YBR232C	2	2	2
YBR233W	611	890	665
YBR233W-A	136	215	164
YBR234C	4012	5848	4546
YBR235W	1775	2901	2179
YBR236C	1533	2252	1703
YBR237W	1150	1667	1349
YBR238C	5296	6898	6901
YBR239C	441	619	523
YBR240C	87	126	131
YBR241C	493	878	602
YBR242W	741	1162	930
YBR243C	1728	2624	2006
YBR244W	1197	1755	1628
YBR245C	6051	9020	7049
YBR246W	1467	2147	1598
YBR247C	3427	5352	4033
YBR248C	2545	3959	2807
YBR249C	11236	15796	12305
YBR250W	74	110	80
YBR251W	616	1078	738
YBR252W	949	1396	1157
YBR253W	271	395	350
YBR254C	609	721	612
YBR255C-A	119	194	175
YBR255W	815	1174	972
YBR256C	1740	2301	1847
YBR257W	538	757	653
YBR258C	78	125	91
YBR259W	961	1303	983
YBR260C	1794	2798	2225
YBR261C	1271	1781	1356
YBR262C	305	427	333
YBR263W	11850	16524	13605
YBR264C	476	670	526
YBR265W	1653	2238	2045
YBR266C	0	0	1
YBR267W	2195	3444	2874
YBR268W	260	389	333
YBR269C	405	550	484
YBR270C	273	409	327
YBR271W	1024	1765	1271
YBR272C	827	1327	922
YBR273C	1578	2238	1816
YBR274W	1161	1597	1196
YBR275C	4202	6185	4896
YBR276C	3690	5410	4009
YBR277C	1	1	2
YBR278W	371	560	397
YBR279W	2576	3452	2683
YBR280C	589	888	673
YBR281C	2803	3795	2834
YBR282W	346	564	412
YBR283C	10766	16225	12994
YBR284W	203	282	201
YBR285W	11	31	18
YBR286W	23953	37730	30402
YBR287W	5504	7525	6255
YBR288C	2058	3037	2199
YBR289W	1814	2512	2087
YBR290W	967	1393	1161
YBR291C	244	356	295
YBR292C	4	5	5
YBR293W	559	938	690
YBR294W	14	22	12
YBR295W	1534	2221	1666
YBR296C	4415	6906	3931
YBR296C-A	0	0	0
YBR297W	224	330	185
YBR298C	313	499	342
YBR298C-A	1	0	0
YBR299W	58	85	72
YBR300C	2	3	6
YBR301W	3	5	8
YBR302C	1932	4539	2553
YCL001W	1603	2361	1932
YCL001W-A	21	16	15
YCL001W-B	8	5	7
YCL002C	996	1214	1001
YCL004W	572	926	699
YCL005W	551	821	642
YCL005W-A	577	851	734
YCL007C	6	5	5
YCL008C	932	1158	946
YCL009C	8203	12904	10429
YCL010C	884	1268	893
YCL011C	4298	5607	4652
YCL012C	266	336	286
YCL014W	5002	7202	5975
YCL016C	493	713	532
YCL017C	4143	6022	4428
YCL018W	0	0	0
YCL019W	5479	8546	4664
YCL020W	0	0	0
YCL021W-A	343	631	323
YCL022C	0	0	0
YCL023C	0	1	2
YCL024W	1373	2008	1576
YCL025C	1019	1672	1307
YCL026C-A	13	7	11
YCL026C-B	94	159	119
YCL027W	410	605	482
YCL028W	4660	6008	5022
YCL029C	1021	1594	1171
YCL030C	11929	17876	10673
YCL031C	2567	3795	2926
YCL032W	598	955	702
YCL033C	433	690	543
YCL034W	1497	2311	1893
YCL035C	794	1355	1184
YCL036W	1383	2626	1776
