,SNF2_14,SNF2_15,SNF2_31,SNF2_33,SNF2_42,SNF2_44,WT_02,WT_18,WT_20,WT_39,WT_42,WT_45,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YLL052C,15.64708554,22.14434281,22.19249755,28.07852592,25.75945616,17.3651242,114.7912586,111.517219,111.9188729,125.6659593,125.6255035,154.0362878,72.89517777,-2.512198213,0.176973689,-14.19532035,2.95E-30,3.73E-28
YER037W,180.3140333,178.209235,188.6362292,155.0422953,143.3569734,192.526377,620.0777808,591.14953,730.497508,554.8018415,746.6421432,507.1726711,399.0355515,-1.850473538,0.119215056,-15.52214623,4.77E-30,5.91E-28
YGL028C,342.7456832,479.7940943,438.3018267,369.2936562,384.1518897,362.402592,1180.710088,1284.072056,1223.545515,1311.471341,1073.742511,1489.563677,828.3162442,-1.674635828,0.103876117,-16.12147117,5.99E-30,7.29E-28
YMR045C,34.27456832,30.58028293,31.06949658,26.24731771,19.03959803,25.6701836,127.090322,147.2460368,133.0927137,161.7615008,203.8451565,141.7461585,90.13861128,-2.448189105,0.17270922,-14.17520794,8.22E-30,9.84E-28
YDR277C,591.6088532,395.4346931,500.4408198,540.8168254,478.2299035,588.9042119,1706.49505,1978.077273,2072.011565,1537.402693,2071.635661,1591.16208,1171.018302,-1.820512606,0.117522778,-15.49072139,1.35E-29,1.59E-27
YOR376W,87.17661942,101.2312814,93.20848973,81.79396682,63.83865222,122.3108748,6.14953171,5.413457234,3.024834401,8.021231444,2.370292518,3.277367826,48.15138329,4.298135385,0.33815741,12.71045748,1.42E-29,1.64E-27
YDR342C,426.1968061,380.6717979,450.5077004,305.8117715,319.1932611,416.7629808,1828.460762,2518.340305,4254.429586,2167.069362,3735.581008,1892.67992,1557.975438,-2.834037443,0.208192428,-13.61258654,1.80E-29,2.05E-27
YJR150C,10.43139036,16.87188024,16.64437317,15.87047117,13.43971626,16.6101188,109.6666488,80.11916707,127.0430449,121.6553436,84.14538439,136.8301067,62.44397045,-2.88107524,0.214945155,-13.40376919,8.06E-29,9.00E-27
YMR122C,290.5887314,440.7778712,583.6626857,302.149355,383.0319133,334.4673922,43.04672197,63.87879537,77.13327724,62.83297964,63.99789798,67.18604044,226.0628051,2.628752313,0.192777379,13.63620737,1.19E-28,1.31E-26
YOL158C,782.3542768,988.0594864,869.9459041,740.4185206,863.5017695,716.5001245,2208.706806,3246.991649,3292.532246,2832.831571,2587.174283,2598.133344,1810.595832,-1.758105758,0.114460791,-15.35989525,2.10E-28,2.27E-26
