	SNF2_06	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_22	WT_18	WT_20	WT_39	WT_42	WT_45
YGL137W	3128	2371	2173	4424	2719	3201	3141	2497	1701	2300	2247	3477
YGL214W	1	4	2	22	4	6	1	5	2	0	8	3
YGR105W	401	756	578	935	526	700	734	545	440	590	535	880
YGR001C	1106	349	266	585	316	505	694	365	302	288	367	455
tK(UUU)G1	0	0	0	0	0	0	0	0	0	0	0	0
YGL217C	3	2	1	2	1	4	7	3	2	2	0	1
YGL173C	4762	2529	2276	4604	2729	3360	4481	2995	1988	2424	2975	3774
YGL086W	1073	359	380	1185	530	829	1102	637	306	391	504	734
YGR223C	1345	829	915	1594	822	1330	1027	666	520	451	580	782
tS(AGA)G	0	0	1	0	0	2	1	0	0	0	0	0
YGR077C	903	524	470	774	412	659	878	418	316	340	400	569
YGL052W	374	51	43	98	52	103	150	51	34	32	41	44
YGR285C	8780	6752	6669	10528	5699	7380	10836	5916	4890	5559	5988	9814
YGL080W	2058	456	522	1245	539	1102	1083	551	344	347	558	523
YGL207W	3597	1801	1634	3915	2026	2555	3023	1925	1228	1574	1830	2415
YGR261C	1458	692	712	1543	758	1146	1421	885	559	721	800	1128
YGR226C	0	0	0	0	0	0	0	0	0	0	0	0
YGL140C	2311	661	615	1684	847	1082	1284	960	540	778	882	1217
YGL078C	1190	664	836	1931	729	1032	2788	1495	793	1508	1362	2935
YGL199C	1	2	1	0	0	0	1	0	1	0	0	0
YGR164W	35	14	11	29	8	28	31	28	12	16	10	11
YGR150C	579	337	314	663	308	500	895	394	276	302	445	520
YGL006W-A	3	2	2	7	6	6	8	1	1	3	4	1
YGR196C	1265	618	658	1191	668	844	956	558	447	530	511	836
YGL197W	2617	937	748	1407	1061	1209	1989	1218	745	946	1094	1414
YGR136W	5707	889	718	1059	743	1003	1688	707	629	694	655	769
YGR153W	442	196	168	286	166	280	120	68	74	52	79	92
YGL159W	208	198	196	396	216	319	454	283	189	202	259	301
YGR286C	888	666	964	1348	558	1097	1356	833	651	804	810	1386
YGL254W	674	276	240	339	177	290	338	192	166	180	179	308
tH(GUG)G1	0	2	1	2	1	5	1	1	5	3	3	2
YGR023W	4040	951	968	1070	469	1117	1249	692	418	560	552	948
snR48	3	5	3	10	4	15	14	6	3	3	5	11
YGL063W	340	294	354	420	255	383	320	253	215	236	226	374
YGL154C	247	293	251	480	241	413	312	232	189	148	237	285
YGL035C	11273	2569	2733	3599	2078	3205	2778	1446	1129	1197	1263	2016
YGR009C	3783	1432	1431	2955	1533	2091	1869	1209	765	950	1101	1575
YGR034W	2259	11071	8683	12281	7308	9171	6751	8112	6835	10054	8509	13765
YGL064C	516	152	175	287	151	236	374	167	106	147	174	225
YGR118W	3016	8959	7075	11864	6922	8005	6010	7442	6145	8262	7631	12113
YGR277C	754	625	605	838	511	629	734	451	405	420	459	747
YGR232W	214	907	860	1331	900	1224	502	511	497	398	506	631
YGR227W	1144	397	398	749	400	584	846	370	255	289	285	481
YGL142C	671	307	302	622	343	543	782	380	258	293	361	434
YGL143C	331	324	300	488	293	430	458	322	234	255	309	375
YGR222W	365	232	211	472	237	428	546	241	214	201	259	285
YGL045W	1001	371	299	546	309	500	543	288	192	205	239	314
YGL253W	23113	25544	23100	35550	20281	27038	30865	21994	18921	21337	21762	32901
YGR257C	408	789	775	1164	632	912	996	779	628	698	781	1059
YGL131C	326	254	163	336	223	303	518	304	209	304	304	475
YGR064W	1	4	0	5	4	3	7	8	3	1	2	2
YGR263C	432	235	225	400	239	355	406	186	151	183	205	249
YGL049C	3691	1441	1380	2888	1584	2094	2364	1473	1005	1200	1300	1791
YGR296C-B	0	0	0	0	0	0	0	0	0	0	0	0
YGL202W	4244	3682	3454	5173	3373	3722	4869	2933	2846	2694	2843	4359
YGL258W-A	18	31	21	32	23	41	35	24	17	15	14	24
YGR133W	508	205	214	327	203	323	263	174	140	137	153	250
YGR109C	70	19	25	51	27	49	51	29	21	19	27	29
YGR037C	1914	2332	2020	4741	2366	3909	4182	2314	1666	2048	2481	2697
YGL077C	806	1340	1721	2753	1154	1881	2343	1446	1362	1318	1316	2725
YGR111W	462	354	281	690	372	596	484	378	232	212	327	408
YGR016W	97	55	48	83	73	106	95	58	48	32	47	57
YGR245C	1354	836	1030	2422	1095	1185	2778	1625	744	1603	1541	3165
YGR287C	138	358	306	518	276	465	244	224	180	173	230	312
YGL244W	4446	1056	1210	2785	1295	1810	2431	1343	780	1085	1308	1778
YGL057C	204	126	119	195	102	174	171	106	86	93	100	141
YGL187C	386	601	555	863	520	800	583	478	511	402	490	541
YGR180C	2963	3271	2914	5339	3027	4187	9758	4763	3764	4379	4947	6680
YGR116W	1418	1333	1267	2830	1465	2118	2367	1687	1018	1344	1554	2285
YGL181W	5164	2199	2205	2461	1690	2209	2362	1200	1145	1122	1204	1705
YGR202C	1001	839	827	1291	725	1051	1912	916	739	737	784	1325
YGL127C	2830	582	479	661	363	572	747	244	230	223	236	410
YGR203W	339	741	602	542	416	466	246	224	265	234	232	365
YGL150C	1821	1386	1136	2095	1278	1483	1804	1392	969	1223	1168	1751
YGR134W	529	533	613	1007	549	697	809	505	363	426	443	854
YGR095C	775	537	551	942	477	724	1324	608	453	598	586	892
YGR214W	10009	10163	9080	14220	8656	10252	13669	10829	8115	11775	10088	18517
YGR269W	76	20	21	19	7	18	34	26	15	28	22	26
YGR176W	4	21	28	39	15	30	39	29	33	49	44	87
YGL263W	48	73	51	128	78	117	125	67	56	50	66	99
YGR057C	93	156	115	322	176	255	249	168	115	131	133	191
YGL074C	39	21	15	14	10	25	28	14	14	23	18	15
YGR007W	1993	1309	1268	2086	1110	1528	1645	894	704	746	758	1422
YGR241C	7168	1556	1690	2046	1225	2014	2607	1109	979	962	1042	1608
YGR127W	417	371	364	608	338	655	566	367	255	253	346	379
YGL219C	3188	729	744	1074	647	1036	1248	429	488	388	492	625
YGL061C	427	168	157	316	169	256	305	127	114	121	143	178
YGR083C	1511	581	588	1495	725	933	1850	944	445	803	905	1396
YGL038C	2406	812	886	1741	948	1386	1932	958	620	731	801	1291
YGL047W	561	657	520	711	512	688	397	324	363	232	312	331
YGR244C	6574	2800	2888	4832	2800	3548	2262	1791	1669	1331	1682	2034
YGR289C	440	589	682	1203	532	1105	577	548	360	325	405	624
YGL089C	60	131	114	205	118	161	106	70	70	63	67	107
YGL180W	1066	358	310	689	383	532	543	351	259	221	273	359
YGR146C	3586	867	974	1531	678	1525	1732	827	602	679	612	1275
YGL149W	27	6	9	8	9	9	12	10	7	25	14	20
YGL242C	854	439	430	703	433	486	712	433	383	366	404	513
YGR106C	1041	2284	1912	3747	1874	2712	2617	2170	1626	2011	2037	2949
YGR004W	412	289	274	509	221	394	448	231	151	200	238	372
YGR209C	860	4509	3280	4134	2972	4009	2812	3077	3070	2919	3295	4040
YGR052W	179	258	189	260	187	278	344	195	99	179	159	307
YGR158C	400	307	336	473	238	335	810	366	248	432	355	777
YGR003W	236	157	122	284	138	206	289	137	92	100	132	215
YGR219W	11	11	5	27	9	18	12	8	0	3	5	8
YGL247W	393	197	207	391	147	326	462	175	139	135	176	229
YGR170W	2303	635	596	1307	729	1007	1403	827	540	558	735	964
YGR246C	1194	745	727	1392	766	1008	962	498	358	496	490	782
YGL183C	28	18	7	34	11	26	16	6	1	4	1	6
YGR160W	5	1	2	0	0	1	1	3	2	2	2	1
YGR204C-A	49	15	24	56	19	43	68	39	36	32	47	33
YGR039W	26	19	12	33	17	41	37	10	5	9	22	8
YGL059W	489	362	233	476	326	538	590	327	310	271	351	286
YGL123W	2280	18372	16752	25596	15581	17803	14441	18447	14517	17841	16509	33477
YGL099W	796	594	613	1335	592	790	1369	842	455	782	772	1611
YGR102C	577	293	304	481	256	416	470	263	196	156	203	306
YGL233W	985	553	510	1124	580	887	1173	675	364	463	601	707
YGL072C	4	0	3	4	4	7	0	5	2	2	4	5
YGL056C	4518	827	1117	1548	696	1153	1819	741	629	698	706	1347
YGR104C	1020	283	255	413	254	342	534	232	185	176	212	341
YGR240C	6487	11529	9223	13675	8742	9944	10519	9634	7818	9536	7967	14517
YGR243W	1443	749	935	1308	672	1775	1646	801	504	455	654	991
YGR275W	2304	660	654	956	511	746	974	461	423	484	450	683
YGL088W	1	0	0	0	1	1	1	0	0	0	1	0
YGR020C	2339	2133	1832	3352	1808	2722	2931	1747	1482	1758	1821	2378
YGR100W	1759	1006	933	1912	1015	1522	1319	880	680	724	854	1095
YGR231C	4165	1969	1816	3245	1892	2455	2425	1837	1520	1446	1633	2301
YGR215W	736	135	142	383	152	321	470	218	144	168	218	200
YGR018C	9	58	50	63	40	82	14	46	28	40	32	36
YGL152C	5	0	1	3	0	2	1	2	0	0	3	0
YGL212W	260	204	197	232	158	175	265	162	129	171	142	290
YGL066W	1724	602	651	1048	575	782	1074	570	428	491	536	899
YGL060W	420	236	222	469	243	356	464	280	164	248	254	354
YGL185C	630	373	294	540	306	455	369	232	181	207	217	291
YGR145W	669	421	440	1221	538	659	1499	787	365	853	674	1574
YGL011C	4587	2972	2764	4450	2607	3677	3887	2371	2097	1709	2100	3038
YGR147C	967	1077	995	1454	797	1030	1110	833	606	884	772	1510
YGR036C	708	224	195	409	193	412	651	361	203	211	301	380
YGL122C	4829	2005	2217	3239	1576	2594	3820	2141	1754	1721	1973	3113
YGL261C	11	6	9	6	7	6	2	2	5	1	7	5
YGL041C	0	0	0	0	0	0	0	0	0	0	0	0
YGR099W	204	245	250	434	233	370	435	256	177	194	262	353
YGR046W	2377	333	368	782	384	742	968	440	270	297	401	467
YGL188C-A	11	20	6	17	9	17	40	7	2	9	6	13
YGR216C	746	314	298	666	357	552	732	415	237	267	334	448
tG(UCC)G	0	0	0	0	0	0	0	0	0	0	0	0
YGR047C	639	269	297	749	305	529	504	264	156	212	271	385
YGR238C	691	244	252	597	303	446	541	295	189	206	273	365
YGR282C	2577	13388	11452	16330	9663	13469	7438	8240	7664	8338	8588	12150
YGL132W	7	5	3	12	6	18	17	5	5	4	9	11
tA(AGC)G	0	0	0	0	0	0	0	0	0	0	0	0
YGR169C	431	290	315	410	228	383	492	242	187	198	206	341
YGR063C	287	387	432	400	237	279	234	182	215	212	195	365
YGR256W	262	139	191	225	139	208	106	80	59	40	56	95
YGL036W	7051	1254	1323	2175	1141	1865	2021	1114	743	738	1028	1278
YGR192C	53850	205198	162487	192034	135307	137688	135127	164711	175436	204029	174971	284598
YGL191W	1243	1221	1051	1370	963	1160	1074	621	577	619	658	886
YGR051C	354	533	476	555	288	524	104	44	52	60	65	70
YGR013W	1405	728	767	1229	724	876	889	522	437	493	485	746
YGR123C	191	231	262	579	261	376	846	483	276	434	448	811
YGL209W	7330	1822	2098	2721	1303	2729	4791	2028	1094	1657	1508	3390
YGL163C	1015	585	665	1267	722	870	674	437	307	364	432	641
YGR296C-A	0	0	0	0	0	0	0	0	0	0	0	0
YGL178W	2276	507	473	904	417	719	1721	669	402	449	497	886
YGL092W	2235	694	685	1664	762	1163	1964	1126	604	853	997	1461
YGR132C	2956	1893	1712	2240	1364	1880	1938	1538	1385	1549	1514	2240
YGL208W	1953	891	691	802	612	773	705	369	383	357	351	527
tL(GAG)G	1	1	2	1	0	2	0	0	0	1	0	0
YGR059W	60	16	24	47	35	59	19	18	8	14	13	11
YGR114C	4	0	0	0	0	0	0	0	0	0	0	0
YGR128C	295	149	127	403	151	282	1113	443	183	376	363	723
YGL246C	437	322	297	807	357	552	934	523	288	393	405	708
YGL190C	4984	1275	1205	2283	1171	1907	2427	1212	817	959	1183	1598
YGR033C	1598	592	544	1147	616	929	1095	605	349	499	500	748
YGL112C	1269	489	453	1092	461	772	1227	685	427	500	595	861
YGL001C	681	1632	1350	2035	1322	1607	1500	1323	1141	1156	1265	1821
YGR168C	135	146	193	365	165	334	440	215	131	146	258	267
YGL093W	967	525	488	1026	597	790	827	618	332	443	467	677
YGR120C	129	148	141	313	131	242	271	141	104	111	107	167
