"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR177C",208.34937391054,-1.63996451183583,0.137069297930844,-11.964491951095,4.52223693406986e-17,2.97048896649687e-15
"YMR244W",83.8365769392884,2.25279356335926,0.211263445928173,10.6634328218104,5.35128139455553e-17,3.48093061587593e-15
"YBR296C",534.320609928443,-2.88192602652206,0.288345204091718,-9.99470768241167,7.24254761043626e-17,4.66587201826182e-15
"YOL104C",39.7027816272155,-2.24519117775359,0.21130404129627,-10.625405761197,7.33584622581887e-17,4.68096854409394e-15
"YDR261C-D",36.939934485245,-2.80302233425138,0.282443960765539,-9.92417160081611,1.76173118109528e-16,1.11354706729607e-14
"YHR216W",1518.61210743486,-1.3053234680727,0.100099325846252,-13.0402823099689,4.30369910350243e-16,2.6948396255576e-14
"YDL227C",100.597505265856,-1.94749558700432,0.180019911528923,-10.818223220221,4.46441522899142e-16,2.76959092909653e-14
"YDR345C",27903.4589748887,-1.14128514127003,0.0805291929344769,-14.172315649539,8.36963296558723e-16,5.14463677701233e-14
"YDR133C",4480.87544682332,-1.14641517899566,0.0813362972045942,-14.0947549666782,9.52041255561925e-16,5.79879673842263e-14
"YJR148W",1732.19596972107,-1.39154281842585,0.117170369189788,-11.8762348198449,1.38171850683545e-14,8.34010269891669e-13
"YPR015C",163.507404212414,1.74951809368228,0.16500913866764,10.602552730162,1.83170897360635e-14,1.09575447528237e-12
"YGR050C",165.175637367266,1.49903907790727,0.132302694289624,11.3303745320993,2.15695917137937e-14,1.27890499541963e-12
"YEL065W",848.746852875499,-1.46962389475151,0.130044536756522,-11.300927600696,4.45636134673747e-14,2.61908956343342e-12
"YIR042C",203.572839550938,1.37339043626977,0.117325080792402,11.7058554487585,4.87697505041576e-14,2.84136807285092e-12
"YLL060C",494.115258516265,1.4287414139178,0.124937295331846,11.4356678694134,5.2816514702915e-14,3.05060903887527e-12
"YDR089W",407.606860584167,-1.66874983710999,0.157435671783798,-10.5995662749268,5.69611325346952e-14,3.26187682036289e-12
"YLR346C",61.6026227089112,-1.89516208844886,0.188858778847515,-10.0348106665405,7.49033408662896e-14,4.25298630342492e-12
"YHR095W",20.6590009162643,3.81477799462097,0.448780258911777,8.50032486694316,7.55457268186753e-14,4.25341487130357e-12
"YNL217W",1317.83342681282,-1.43666998407626,0.127134716717285,-11.3003750759208,8.69032974901315e-14,4.85210077653234e-12
"YJL016W",493.204715436636,-1.0430610908747,0.0739378053304793,-14.1072768688837,1.0300539068554e-13,5.70360427762905e-12
"YOL130W",1287.36335808855,-1.14808802561146,0.088357642734036,-12.993647069867,1.11004017804035e-13,6.09612228923799e-12
"YDL154W",88.1748775617888,-1.45756920641221,0.130858325871525,-11.1385286087432,1.26220196971801e-13,6.875409103342e-12
"YMR017W",50.9787010309961,1.73634570658438,0.170904890172566,10.1597192732821,2.34286522456762e-13,1.26590298424218e-11
"YHR007C-A",51.4274211344264,1.96089038811328,0.201977750282762,9.70844751646207,2.363462025938e-13,1.26681564590277e-11
"YOR344C",550.674716430315,-1.38817023922476,0.122975262929805,-11.2882071251772,2.55486076754634e-13,1.35853707480639e-11
"YLR112W",131.140977265328,1.40376248075968,0.125282021914682,11.2048198081897,2.72009923634986e-13,1.43501298295623e-11
"YGR110W",138.024456072083,1.60898576754941,0.154844659198277,10.390967153017,3.9776100299877e-13,2.08203025007169e-11
"YLR214W",1538.69106232647,-1.34766004907325,0.118824596762059,-11.3415916047405,4.88500253751696e-13,2.53717186057082e-11
"YCR021C",609.892805733503,-2.36342832040039,0.262315397200926,-9.00987264041566,6.06992949032764e-13,3.12834827578424e-11
"YLR151C",381.976429942857,1.15003000466977,0.0920395902289126,12.4949492040275,8.17641082302862e-13,4.18182843620548e-11
"YMR195W",919.45363167316,-1.4629228272618,0.13691735502328,-10.6847143447451,1.01159331243334e-12,5.13460241916923e-11
"YMR280C",561.899411985194,1.2231605403225,0.102956988728659,11.8803060911786,1.07872522480926e-12,5.43417970392633e-11
"YER042W",491.911835032487,1.21285756230886,0.102121736351761,11.8765857851372,1.47098675924314e-12,7.35493379621569e-11
"YPR160W",1975.35339167454,-2.18793864272324,0.241928106449928,-9.04375549757004,1.50747169389271e-12,7.48152618450458e-11
"YNL134C",1385.20761751499,-1.23625020562093,0.105565924645068,-11.7106936710632,1.53680347148431e-12,7.57101710216537e-11
"YER056C",2290.96086639868,-1.37470700941732,0.125740201469582,-10.9329155938236,1.74461409609325e-12,8.53205433855823e-11
"YJL200C",590.732695296892,-1.31651220856393,0.117815198366861,-11.1743834990158,2.09753684221989e-12,1.01836933644009e-10
"YIR027C",69.2148967973382,1.74869142008029,0.180506698823066,9.68768157349313,2.29515478201979e-12,1.10629762874335e-10
"YER053C",1508.27184746622,-1.36663221043382,0.125569866644966,-10.8834408042959,2.57111534608077e-12,1.2304623441958e-10
"YKR080W",1321.65077896397,-2.4442882607579,0.28196105199349,-8.66888615812917,2.682054849425e-12,1.27445159511685e-10
"YDR119W-A",101.986139861958,-2.14619932052007,0.239582926213418,-8.95806456011082,3.18533528815209e-12,1.50293988948021e-10
"YNL146W",62.3142284616102,1.59651953579927,0.15983632203441,9.98846517161204,3.43664474155281e-12,1.61017620758069e-10
"YJL170C",156.903645425824,1.28752117587469,0.11520406101772,11.176005120832,4.075147706991e-12,1.89149747775156e-10
"YKL162C-A",27.8167489062323,2.64537706718486,0.31391552934095,8.42703472726787,4.12177062316012e-12,1.89149747775156e-10
"YCL048W",47.3140523212374,1.81257168795154,0.192056792183288,9.43768594355005,4.1206269793367e-12,1.89149747775156e-10
"YMR272C",1312.50968323279,-1.25492084780322,0.110880248106404,-11.3178033891028,4.93334274372566e-12,2.24853036618789e-10
"YPL198W",400.60016921424,-1.18472710109023,0.100915071534505,-11.7398430489656,5.79702320228218e-12,2.62432807130342e-10
"YEL071W",3658.18931509535,1.07183991256256,0.0843072611803182,12.7134946332805,5.89313725793383e-12,2.64993420323199e-10
"YLR213C",280.258558070107,1.25760990035596,0.111778184071687,11.2509423086478,6.10108406650026e-12,2.72515088303678e-10
"YBR238C",385.06245497059,-1.71996396692065,0.180664541358916,-9.52020775069355,7.2585666392487e-12,3.22068850880572e-10
"YFL054C",917.582135406565,1.52898226134764,0.152894245109771,10.0002603776872,8.48163235496383e-12,3.73861426172748e-10
"YIR028W",133.346074521412,1.25064632900183,0.111562625405704,11.2102626166584,8.57252603988907e-12,3.75398199132397e-10
"YER067C-A",53.5445989781005,-2.45933693189086,0.291388188957804,-8.44007075471063,8.83122026026069e-12,3.84215426907445e-10
"YLR307W",35.9902897943544,2.13495168211839,0.244859047300124,8.71910474887037,1.218470020108e-11,5.26693492562811e-10
"YNL327W",2777.30648916271,-1.25232499550449,0.112983022472734,-11.0841874123761,1.38088975751303e-11,5.93074447137008e-10
"YBR068C",3842.54143928684,-0.797512791119538,0.0447020762369109,-17.8406208000922,1.41209594657326e-11,6.02614193760562e-10
"YNL141W",772.272503411919,-1.46859014441581,0.146583530644185,-10.018793639107,1.95077103495123e-11,8.2722569203628e-10
"YBR069C",1614.68773972292,-1.29632017222748,0.121124893702937,-10.702343115419,2.4429385067823e-11,1.02941433933594e-09
"YHL021C",1775.83185936744,-1.68122875359738,0.179817595285194,-9.34963428317969,2.53205507890609e-11,1.06029806429193e-09
"YIL094C",2041.51445559468,-1.12262396331269,0.0950495759541251,-11.8109307910486,2.86689120075419e-11,1.19305410217721e-09
"YKL163W",237.87596152557,-1.75202867813257,0.191763150542775,-9.13641997001799,3.30969807187237e-11,1.36882574577437e-09
"YHR128W",828.947712500184,-1.27573257017161,0.118878261063171,-10.7314201836591,3.39018396258666e-11,1.39351119934544e-09
"YNL300W",762.518449047655,-1.38776261754411,0.137736312636518,-10.0755029010133,5.76562762134868e-11,2.35546982091684e-09
"YOL110W",832.461569746409,1.7347753068295,0.19202738914818,9.03399934001522,6.37163562036589e-11,2.58727022160312e-09
"YNR053C",392.53710361748,-1.99660777811453,0.233435887056461,-8.55313123997771,7.21819780152263e-11,2.91336899218082e-09
"YOL002C",1065.48115319364,-1.77617178868506,0.200219480307432,-8.87112375857627,9.21618759767285e-11,3.69751238948551e-09
"YLR300W",4994.14265167077,-1.24186977863968,0.117262298257341,-10.5905290711112,1.25323950274666e-10,4.99803849309681e-09
"YJL082W",1513.7639472916,-1.0414733237184,0.0860392345316327,-12.1046326061339,1.55363064144655e-10,6.15936408147448e-09
"YLR273C",149.41195470072,1.23101043826736,0.116524667930389,10.5643762829924,1.76579254189586e-10,6.95930001806015e-09
"YLR058C",3360.7981671487,-2.06252188498518,0.249374059871169,-8.2707956314731,1.85487191440913e-10,7.26762679914689e-09
"YEL066W",345.765419995999,1.51823061615502,0.16261432753048,9.33638898374712,1.9048802956852e-10,7.42017324482027e-09
"YKL051W",928.883488274782,-1.07480077510063,0.0919450779249182,-11.6895955646295,2.03177916735114e-10,7.86874012789171e-09
"YMR105C",3880.10548619682,-1.44725271756078,0.151679097328056,-9.54154358151685,2.11750356761585e-10,8.15360569139435e-09
"YMR145C",2889.09301343067,-0.842778013216986,0.0549606285259579,-15.3342135237581,2.23317480555848e-10,8.54986925556676e-09
"YOR114W",112.016744670235,1.33245754059858,0.133635881872034,9.970806657111,2.34267053989886e-10,8.91812080529678e-09
"YLR108C",460.417260079307,1.48550278202517,0.158682018365865,9.36150672472619,2.63995533880861e-10,9.93691054495376e-09
"YCL027W",146.974719176367,1.14693151298086,0.104164974181613,11.0107214252382,2.63840429465472e-10,9.93691054495376e-09
"YLL061W",771.210053637753,1.28738691594731,0.127518284414577,10.0957044854984,3.3144996024905e-10,1.24062275623946e-08
"YKL178C",37.8548077468014,1.78165359501215,0.209409449966971,8.50799042399073,4.66927614387942e-10,1.73800834244401e-08
"YOL052C-A",205.990309331024,-2.11816223641829,0.264444809147115,-8.00984614993867,4.7054896416865e-10,1.74181108283423e-08
"YGR096W",332.695215559797,1.11885040830888,0.101203295164713,11.0554740978334,4.83016457901098e-10,1.77761718943071e-08
"YCL025C",1361.95942927371,-1.59103609231801,0.178446010420525,-8.91606424020678,4.85528277113163e-10,1.77761718943071e-08
"YJL101C",1045.5936377149,-0.910067271787573,0.0671639136561177,-13.5499440435702,5.1249246643889e-10,1.86614104627204e-08
"YFR030W",726.130173044528,1.12899774570739,0.103191139152794,10.9408400273176,5.45606577829773e-10,1.97598057916728e-08
"YGL255W",987.326435650178,-1.34384641468754,0.138741155815857,-9.6859969688529,5.92857255492655e-10,2.13556108161333e-08
"YPL061W",13408.6306771644,-1.32769404077992,0.136781702632961,-9.70666408753986,7.1883446890729e-10,2.57550317736836e-08
"YLR136C",345.06756101484,-1.38184433885882,0.146308353312288,-9.44473987694565,8.3360679427322e-10,2.97083272427158e-08
"YHR030C",2490.23831189016,-0.936278883348435,0.0726184625701566,-12.8931245610426,9.40153657650875e-10,3.33281984458247e-08
"YDR019C",512.692053382413,-2.2189585020572,0.287456863567237,-7.71927472706936,1.1164875796458e-09,3.93708778085624e-08
"YNL332W",17.5108869129015,2.75048359849864,0.377374402096236,7.2884742134609,1.23422992889165e-09,4.32949765632148e-08
"YPL018W",116.976462354814,-1.31065126124955,0.135954261814622,-9.64038378610496,1.24069808539367e-09,4.32951936048832e-08
"YJR010W",716.127459540483,1.28097900572544,0.13104519304526,9.77509343118767,1.26415807551663e-09,4.3885280341769e-08
"YIL101C",595.454017274029,-1.05450476577978,0.0934077252160309,-11.2892671707928,1.45682362396911e-09,5.03129808277991e-08
"YKR076W",639.546967660769,1.39587997010958,0.151017750286926,9.24315166566497,1.49375927325404e-09,5.13240365682158e-08
"YMR081C",383.916617486461,-1.30356110759189,0.135752024128161,-9.60251691246398,1.6162731895737e-09,5.52501549497134e-08
"YCL021W-A",60.8348975607064,-1.51447042758844,0.172290970086439,-8.79019037868684,1.95303161161622e-09,6.64229025270493e-08
"YPR007C",36.9208595040184,1.76902740086714,0.217312518735189,8.14047626507349,2.61564914690112e-09,8.85093398193813e-08
"YDL244W",29.9130652675103,2.1371027431609,0.281029972232061,7.60453671964991,2.84936036367419e-09,9.59332383749603e-08
"YLR356W",471.470034447516,1.28617084769995,0.135388375627282,9.4998617255053,3.1842392607045e-09,1.06672015233601e-07
"YOL047C",181.485946280984,1.22242949513839,0.125390485504542,9.74898127413437,4.17001751246818e-09,1.3900058374894e-07
