"","SNF2_06","SNF2_15","SNF2_31","SNF2_33","SNF2_42","SNF2_44","WT_22","WT_18","WT_20","WT_39","WT_42","WT_45","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR077W",13098.0585859212,5693.600477476,5551.19620406001,3941.61688409042,4634.38839443112,3775.53414232109,49788.9546631514,41474.4497022305,53028.8902466639,48987.4364499831,43075.9131105309,44063.848981454,26426.1573201928,-2.9338869786124,0.273720790270413,-10.7185390474504,3.00471578288139e-19,4.34377390351331e-17
"YHL047C",442.463341229274,765.174037832754,757.139169438007,713.711022385285,722.3028669048,695.888972761636,2030.31754107807,3379.11583191582,2473.66930165182,2420.17011709326,2529.15541556628,2953.54270907496,1656.88752724433,-1.94714965711305,0.164184103374665,-11.859550450324,6.02774666834574e-19,8.52862028606365e-17
"YMR006C",468.911069218746,585.4573690046,762.927695198237,565.630284882372,503.28199758528,546.260968379441,1903.50884197475,1808.42978000163,1795.15003668467,2214.28758977109,1794.36661075088,2688.61266283271,1303.06874219037,-1.83168115050414,0.1522675591206,-12.0293591168254,1.10852424889513e-18,1.53576796982346e-16
"YNL160W",496.073600667393,450.945506446105,414.458444432426,333.658314116006,356.49141495624,326.173215901927,1422.46279863718,1652.93862134728,3016.16838762789,2263.30723913351,1591.83658723874,1569.92417724847,1157.86985897943,-2.2753304548402,0.203397076632093,-11.1866428589623,1.29153651096598e-18,1.75279955059669e-16
"YLR258W",1300.94229569835,1503.886725654,1165.8090881102,1138.25150587003,1409.6555950884,1235.02479807526,3698.12760537166,6492.31924758217,7506.41592432196,4994.40198932555,6497.01496156942,3960.27688479554,3408.51055178855,-2.09592977492485,0.184548683285545,-11.3570562390949,2.62637437296404e-18,3.49307791604218e-16
"YDR399W",606.868136839505,969.146944171457,882.171325858963,721.973037782443,710.6528206644,646.804653863773,2861.46586237479,2273.77650843818,3107.90292694746,2948.18176879705,2047.52914014106,3074.89776251496,1737.6142406995,-1.84739016603979,0.156963167198631,-11.7695775321734,4.57684532300282e-18,5.96784733293505e-16
"YAR009C",7.86283805092409,15.4357875067126,4.63082060818353,5.08431716748199,9.32003699232,5.54177794008128,65.4718826892113,52.957133744596,49.0305296363213,54.6218950038408,58.0421408845776,57.2590745104232,32.1048528945561,-2.87973986362747,0.278152452425286,-10.3530989517376,5.86674732775847e-18,7.50266725569112e-16
"YPL062W",119.372177682211,100.332618793632,126.189861573001,68.0027421150717,73.39529131452,72.0431132210567,7.58095483769815,16.9012128972115,11.071409917879,15.4061755139038,13.5843308453267,10.2553566287325,52.8446037783537,2.93678422767568,0.285102749091034,10.3007923881434,6.31434324738119e-18,7.92271369718583e-16
"YPR149W",538.961808217888,1430.01545687188,1271.16025694638,929.158962357334,1262.86501245936,1122.60587414789,5117.14451544625,4643.32655662723,5179.83821157911,4841.74079559686,4652.01584494051,5141.35212320457,3010.84878486627,-2.17487958518299,0.196998179626264,-11.0400999101061,9.31715784032366e-18,1.14739073403986e-15
"YBL044W",63.6175078665677,205.075462589182,184.075119175295,102.95742264151,121.16048090016,124.294162370395,9.64848797525219,20.2814554766538,7.90814994134215,15.4061755139038,11.1144525098127,17.0922610478875,73.5525948339968,3.28622972877437,0.330872399347607,9.93201528823181,1.86867371530497e-17,2.25939640123237e-15
