ENSMUSG00000127021.1	ENSMUSG00000127021	Gene Expression
ENSMUSG00000073725.9	Lmbrd1	Gene Expression
ENSMUSG00000133176.1	ENSMUSG00000133176	Gene Expression
ENSMUSG00000129414.1	ENSMUSG00000129414	Gene Expression
ENSMUSG00000143216.1	ENSMUSG00000143216	Gene Expression
ENSMUSG00000130976.1	ENSMUSG00000130976	Gene Expression
ENSMUSG00000100483.2	Gm28237	Gene Expression
ENSMUSG00000135830.1	ENSMUSG00000135830	Gene Expression
ENSMUSG00000099392.3	Gm29414	Gene Expression
ENSMUSG00000122244.1	ENSMUSG00000122244	Gene Expression
ENSMUSG00000033569.18	Adgrb3	Gene Expression
ENSMUSG00000122289.1	ENSMUSG00000122289	Gene Expression
ENSMUSG00000133748.1	ENSMUSG00000133748	Gene Expression
ENSMUSG00000135201.1	Gm9884	Gene Expression
ENSMUSG00000130306.1	ENSMUSG00000130306	Gene Expression
ENSMUSG00000140232.1	ENSMUSG00000140232	Gene Expression
ENSMUSG00000073722.4	Spata31e2	Gene Expression
ENSMUSG00000133566.1	ENSMUSG00000133566	Gene Expression
ENSMUSG00000129952.1	ENSMUSG00000129952	Gene Expression
ENSMUSG00000101514.4	Gm5524	Gene Expression
ENSMUSG00000129466.1	ENSMUSG00000129466	Gene Expression
ENSMUSG00000141222.1	ENSMUSG00000141222	Gene Expression
ENSMUSG00000139702.1	ENSMUSG00000139702	Gene Expression
ENSMUSG00000138065.1	ENSMUSG00000138065	Gene Expression
ENSMUSG00000048411.5	Spata31e5	Gene Expression
ENSMUSG00000124238.1	ENSMUSG00000124238	Gene Expression
ENSMUSG00000128221.1	ENSMUSG00000128221	Gene Expression
ENSMUSG00000123191.1	ENSMUSG00000123191	Gene Expression
ENSMUSG00000127937.1	ENSMUSG00000127937	Gene Expression
ENSMUSG00000124992.1	ENSMUSG00000124992	Gene Expression
ENSMUSG00000125037.1	ENSMUSG00000125037	Gene Expression
ENSMUSG00000053185.4	Gm9898	Gene Expression
ENSMUSG00000142156.1	ENSMUSG00000142156	Gene Expression
ENSMUSG00000048874.16	Phf3	Gene Expression
ENSMUSG00000128750.1	ENSMUSG00000128750	Gene Expression
ENSMUSG00000026064.17	Ptp4a1	Gene Expression
ENSMUSG00000117310.3	Ptp4a1	Gene Expression
ENSMUSG00000139019.1	ENSMUSG00000139019	Gene Expression
ENSMUSG00000117091.2	Alyreffm3	Gene Expression
ENSMUSG00000086727.10	Alyreffm1	Gene Expression
ENSMUSG00000100910.3	Gm29128	Gene Expression
ENSMUSG00000125934.1	ENSMUSG00000125934	Gene Expression
ENSMUSG00000050217.14	Lgsn	Gene Expression
ENSMUSG00000026063.5	Dnaaf6rt	Gene Expression
ENSMUSG00000094215.4	Alyreffm2	Gene Expression
ENSMUSG00000124860.1	ENSMUSG00000124860	Gene Expression
ENSMUSG00000124101.1	ENSMUSG00000124101	Gene Expression
ENSMUSG00000142221.1	ENSMUSG00000142221	Gene Expression
ENSMUSG00000026058.12	Khdrbs2	Gene Expression
ENSMUSG00000091318.3	Semp2l1	Gene Expression
ENSMUSG00000102917.2	Gm37724	Gene Expression
ENSMUSG00000131675.1	ENSMUSG00000131675	Gene Expression
ENSMUSG00000104230.3	Gm37591	Gene Expression
ENSMUSG00000137049.1	ENSMUSG00000137049	Gene Expression
ENSMUSG00000132768.1	ENSMUSG00000132768	Gene Expression
ENSMUSG00000026134.12	Prim2	Gene Expression
ENSMUSG00000138807.1	ENSMUSG00000138807	Gene Expression
ENSMUSG00000138851.1	ENSMUSG00000138851	Gene Expression
ENSMUSG00000121274.2	Gm57180	Gene Expression
ENSMUSG00000004768.15	Rab23	Gene Expression
ENSMUSG00000042215.9	Bag2	Gene Expression
ENSMUSG00000042197.14	Zfp451	Gene Expression
ENSMUSG00000123811.1	ENSMUSG00000123811	Gene Expression
ENSMUSG00000123789.1	ENSMUSG00000123789	Gene Expression
ENSMUSG00000042182.17	Bend6	Gene Expression
ENSMUSG00000026131.22	Dst	Gene Expression
ENSMUSG00000127497.1	ENSMUSG00000127497	Gene Expression
ENSMUSG00000096992.5	Gm26788	Gene Expression
ENSMUSG00000143827.1	ENSMUSG00000143827	Gene Expression
ENSMUSG00000126561.1	ENSMUSG00000126561	Gene Expression
ENSMUSG00000143057.1	ENSMUSG00000143057	Gene Expression
ENSMUSG00000104397.2	Gm37958	Gene Expression
ENSMUSG00000141576.1	ENSMUSG00000141576	Gene Expression
ENSMUSG00000142399.1	ENSMUSG00000142399	Gene Expression
ENSMUSG00000102336.4	Gm37233	Gene Expression
ENSMUSG00000121838.1	ENSMUSG00000121838	Gene Expression
ENSMUSG00000042111.10	Ccdc115	Gene Expression
ENSMUSG00000101711.2	Gm28306	Gene Expression
ENSMUSG00000026127.14	Imp4	Gene Expression
ENSMUSG00000100280.5	Gm28417	Gene Expression
ENSMUSG00000026126.16	Ptpn18	Gene Expression
ENSMUSG00000101223.9	4930568A12Rik	Gene Expression
ENSMUSG00000140102.1	ENSMUSG00000140102	Gene Expression
ENSMUSG00000026125.10	Prss39	Gene Expression
ENSMUSG00000132507.1	ENSMUSG00000132507	Gene Expression
ENSMUSG00000128226.1	ENSMUSG00000128226	Gene Expression
ENSMUSG00000026124.5	Cfc1	Gene Expression
ENSMUSG00000037529.14	Prss40	Gene Expression
ENSMUSG00000045815.6	1700101I19Rik	Gene Expression
ENSMUSG00000045174.11	Amer3	Gene Expression
ENSMUSG00000138441.1	ENSMUSG00000138441	Gene Expression
ENSMUSG00000138482.1	ENSMUSG00000138482	Gene Expression
ENSMUSG00000037509.22	Arhgef4	Gene Expression
ENSMUSG00000125398.1	ENSMUSG00000125398	Gene Expression
ENSMUSG00000118272.2	Smim39	Gene Expression
ENSMUSG00000104002.3	Gm38336	Gene Expression
ENSMUSG00000037503.13	Fam168b	Gene Expression
ENSMUSG00000026123.12	Plekhb2	Gene Expression
ENSMUSG00000132530.1	ENSMUSG00000132530	Gene Expression
ENSMUSG00000131914.1	ENSMUSG00000131914	Gene Expression
ENSMUSG00000141296.1	ENSMUSG00000141296	Gene Expression
ENSMUSG00000135071.1	ENSMUSG00000135071	Gene Expression
ENSMUSG00000135032.1	ENSMUSG00000135032	Gene Expression
ENSMUSG00000141845.1	ENSMUSG00000141845	Gene Expression
ENSMUSG00000104417.3	Gm37068	Gene Expression
ENSMUSG00000101714.2	Gm28415	Gene Expression
ENSMUSG00000102531.3	1110002O04Rik	Gene Expression
ENSMUSG00000138845.1	ENSMUSG00000138845	Gene Expression
ENSMUSG00000138886.1	ENSMUSG00000138886	Gene Expression
ENSMUSG00000102279.2	Gm37146	Gene Expression
ENSMUSG00000143922.1	ENSMUSG00000143922	Gene Expression
ENSMUSG00000103708.4	Gm33222	Gene Expression
ENSMUSG00000104201.3	4930535G08Rik	Gene Expression
ENSMUSG00000140889.1	ENSMUSG00000140889	Gene Expression
ENSMUSG00000140969.1	ENSMUSG00000140969	Gene Expression
ENSMUSG00000140927.1	ENSMUSG00000140927	Gene Expression
ENSMUSG00000045216.8	Hs6st1	Gene Expression
ENSMUSG00000122855.1	ENSMUSG00000122855	Gene Expression
ENSMUSG00000104523.2	Gm37335	Gene Expression
ENSMUSG00000102202.4	Gm33280	Gene Expression
ENSMUSG00000037470.15	Uggt1	Gene Expression
ENSMUSG00000136261.1	ENSMUSG00000136261	Gene Expression
ENSMUSG00000134347.1	ENSMUSG00000134347	Gene Expression
ENSMUSG00000047180.9	Neurl3	Gene Expression
ENSMUSG00000125625.1	ENSMUSG00000125625	Gene Expression
ENSMUSG00000132917.1	ENSMUSG00000132917	Gene Expression
ENSMUSG00000037447.17	Arid5a	Gene Expression
ENSMUSG00000131496.1	ENSMUSG00000131496	Gene Expression
ENSMUSG00000102762.3	4930403P22Rik	Gene Expression
ENSMUSG00000010453.13	Kansl3	Gene Expression
ENSMUSG00000037432.16	Fer1l5	Gene Expression
ENSMUSG00000001143.14	Lman2l	Gene Expression
ENSMUSG00000137055.1	ENSMUSG00000137055	Gene Expression
ENSMUSG00000137017.1	ENSMUSG00000137017	Gene Expression
ENSMUSG00000137090.1	ENSMUSG00000137090	Gene Expression
ENSMUSG00000037408.11	Cnnm4	Gene Expression
ENSMUSG00000001138.14	Cnnm3	Gene Expression
ENSMUSG00000102845.2	Gm38033	Gene Expression
ENSMUSG00000067653.13	Ankrd23	Gene Expression
ENSMUSG00000109510.2	Gm42417	Gene Expression
ENSMUSG00000079610.10	Ankrd39	Gene Expression
ENSMUSG00000126033.1	ENSMUSG00000126033	Gene Expression
ENSMUSG00000026121.14	Sema4c	Gene Expression
ENSMUSG00000087589.5	D430040D24Rik	Gene Expression
ENSMUSG00000046337.19	Fam178b	Gene Expression
ENSMUSG00000061518.12	Cox5b	Gene Expression
ENSMUSG00000037351.10	Actr1b	Gene Expression
ENSMUSG00000102416.5	4933424G06Rik	Gene Expression
ENSMUSG00000104237.3	Gm33533	Gene Expression
ENSMUSG00000026117.11	Zap70	Gene Expression
ENSMUSG00000121718.1	ENSMUSG00000121718	Gene Expression
ENSMUSG00000141655.1	ENSMUSG00000141655	Gene Expression
ENSMUSG00000026116.12	Tmem131	Gene Expression
ENSMUSG00000127057.1	ENSMUSG00000127057	Gene Expression
ENSMUSG00000102930.2	Gm38115	Gene Expression
ENSMUSG00000136074.1	ENSMUSG00000136074	Gene Expression
ENSMUSG00000142066.1	ENSMUSG00000142066	Gene Expression
ENSMUSG00000129112.1	ENSMUSG00000129112	Gene Expression
ENSMUSG00000050122.21	Vwa3b	Gene Expression
ENSMUSG00000131940.1	ENSMUSG00000131940	Gene Expression
ENSMUSG00000141881.1	ENSMUSG00000141881	Gene Expression
ENSMUSG00000103603.3	Gm37020	Gene Expression
ENSMUSG00000131689.1	ENSMUSG00000131689	Gene Expression
ENSMUSG00000026114.15	Cnga3	Gene Expression
ENSMUSG00000125286.1	ENSMUSG00000125286	Gene Expression
ENSMUSG00000139275.1	ENSMUSG00000139275	Gene Expression
ENSMUSG00000026113.18	Inpp4a	Gene Expression
ENSMUSG00000086064.3	4930439A04Rik	Gene Expression
ENSMUSG00000026112.8	Coa5	Gene Expression
ENSMUSG00000026111.16	Unc50	Gene Expression
ENSMUSG00000026110.16	Mgat4a	Gene Expression
ENSMUSG00000134351.1	ENSMUSG00000134351	Gene Expression
ENSMUSG00000129018.1	ENSMUSG00000129018	Gene Expression
ENSMUSG00000143477.1	ENSMUSG00000143477	Gene Expression
ENSMUSG00000122996.1	ENSMUSG00000122996	Gene Expression
ENSMUSG00000143598.1	ENSMUSG00000143598	Gene Expression
ENSMUSG00000026090.17	Cracdl	Gene Expression
ENSMUSG00000089767.3	4930556I23Rik	Gene Expression
ENSMUSG00000139392.1	ENSMUSG00000139392	Gene Expression
ENSMUSG00000060771.16	Tsga10	Gene Expression
ENSMUSG00000097268.2	Gm26805	Gene Expression
ENSMUSG00000037216.6	Lipt1	Gene Expression
ENSMUSG00000026088.16	Mitd1	Gene Expression
ENSMUSG00000026087.12	Mrpl30	Gene Expression
ENSMUSG00000061584.7	Lyg2	Gene Expression
ENSMUSG00000087374.2	Gm15457	Gene Expression
ENSMUSG00000026085.12	Lyg1	Gene Expression
ENSMUSG00000058407.13	Txndc9	Gene Expression
ENSMUSG00000026083.13	Eif5b	Gene Expression
ENSMUSG00000135983.1	ENSMUSG00000135983	Gene Expression
ENSMUSG00000026082.12	Rev1	Gene Expression
ENSMUSG00000103804.2	Gm37062	Gene Expression
ENSMUSG00000138890.1	ENSMUSG00000138890	Gene Expression
ENSMUSG00000102716.3	Gm5099	Gene Expression
ENSMUSG00000125331.1	ENSMUSG00000125331	Gene Expression
ENSMUSG00000126108.1	ENSMUSG00000126108	Gene Expression
ENSMUSG00000037138.19	Aff3	Gene Expression
ENSMUSG00000127429.1	ENSMUSG00000127429	Gene Expression
ENSMUSG00000085391.3	Gm16150	Gene Expression
ENSMUSG00000085280.2	Gm16151	Gene Expression
ENSMUSG00000133139.1	ENSMUSG00000133139	Gene Expression
ENSMUSG00000087131.8	Gm16152	Gene Expression
ENSMUSG00000122371.1	ENSMUSG00000122371	Gene Expression
ENSMUSG00000048814.12	Lonrf2	Gene Expression
ENSMUSG00000026080.15	Chst10	Gene Expression
ENSMUSG00000103647.2	Gm37707	Gene Expression
ENSMUSG00000067604.9	Nms	Gene Expression
ENSMUSG00000132153.1	ENSMUSG00000132153	Gene Expression
ENSMUSG00000026078.11	Pdcl3	Gene Expression
ENSMUSG00000135574.1	ENSMUSG00000135574	Gene Expression
ENSMUSG00000135611.1	ENSMUSG00000135611	Gene Expression
ENSMUSG00000124233.1	ENSMUSG00000124233	Gene Expression
ENSMUSG00000124315.1	ENSMUSG00000124315	Gene Expression
ENSMUSG00000104188.2	Gm37821	Gene Expression
ENSMUSG00000132325.1	ENSMUSG00000132325	Gene Expression
ENSMUSG00000026077.16	Npas2	Gene Expression
ENSMUSG00000126345.1	ENSMUSG00000126345	Gene Expression
ENSMUSG00000131701.1	ENSMUSG00000131701	Gene Expression
ENSMUSG00000073702.12	Rpl31	Gene Expression
ENSMUSG00000003134.11	Tbc1d8	Gene Expression
ENSMUSG00000126978.1	ENSMUSG00000126978	Gene Expression
ENSMUSG00000142229.1	ENSMUSG00000142229	Gene Expression
ENSMUSG00000003135.16	Cnot11	Gene Expression
ENSMUSG00000085894.3	Gm15832	Gene Expression
ENSMUSG00000048234.14	Rnf149	Gene Expression
ENSMUSG00000141216.1	ENSMUSG00000141216	Gene Expression
