,myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
4153,0.785,0.670943584,0.57,3.416154108,0.619,0.048,6,Slc6a20a
4154,0.785,0.566023518,0.57,1.94887369,0.757,0.191,6,Slc38a3
4155,0.784,0.565590011,0.568,3.394532673,0.634,0.076,6,Acad8
4156,0.783,0.598064234,0.566,2.189881789,0.739,0.237,6,Ddb1
4157,0.783,0.61601108,0.566,3.261269436,0.634,0.074,6,Elovl7
4158,0.783,0.645143929,0.566,4.374726211,0.599,0.039,6,Plagl1
4159,0.783,0.620838475,0.566,2.460940782,0.708,0.185,6,Plekhb2
4160,0.782,0.637739676,0.564,7.244329573,0.568,0.005,6,Smim22
4161,0.782,0.640617055,0.564,2.307234908,0.724,0.228,6,Nfe2l1
4162,0.782,0.75538034,0.564,2.930756145,0.673,0.147,6,Resf1
4163,0.781,0.588956496,0.562,1.309370354,0.916,0.493,6,Mdh1
4164,0.781,0.600317349,0.562,2.083783896,0.749,0.258,6,Sdhc
4165,0.781,0.589949102,0.562,2.939407904,0.658,0.115,6,Tmem237
4166,0.78,0.684462565,0.56,3.948387131,0.609,0.066,6,Dcaf12l1
4167,0.78,0.659361976,0.56,1.780365134,0.794,0.325,6,Msi2
4168,0.78,0.813882155,0.56,2.045581476,0.788,0.278,6,Abhd2
4169,0.78,0.566172253,0.56,2.064187672,0.749,0.235,6,Bola3
4170,0.78,0.556419381,0.56,4.414711196,0.588,0.031,6,Mdfic
4171,0.779,0.57343878,0.558,3.617453431,0.613,0.064,6,Ltbp3
4172,0.778,0.585546223,0.556,2.068741385,0.737,0.217,6,Ctnna1
4173,0.776,0.581041381,0.552,2.113660622,0.722,0.171,6,Metrn
4174,0.776,0.596770789,0.552,3.137517217,0.626,0.08,6,Nid2
4175,0.776,0.585224412,0.552,3.934943862,0.597,0.054,6,Hemk1
4176,0.775,0.45454247,0.55,0.851082399,0.981,0.88,6,Ndufa2
4177,0.775,0.596288421,0.55,3.601833309,0.597,0.049,6,Maf
4178,0.775,0.620362284,0.55,2.444121545,0.689,0.182,6,Tpp1
4179,0.774,0.602182007,0.548,1.677164019,0.809,0.373,6,mt-Nd4l
4180,0.774,0.495570261,0.548,0.877750744,0.992,0.921,6,Gm10076
4181,0.774,0.641773986,0.548,1.599981919,0.776,0.31,6,Ccnd2
4182,0.774,0.34501829,0.548,0.609503059,0.8,0.282,6,Cxcl1
4183,0.773,0.433583326,0.546,0.90157648,0.852,0.273,6,Sdc4
4184,0.772,0.588233525,0.544,2.391214333,0.687,0.186,6,Dpcd
4185,0.771,0.546090205,0.542,3.728339215,0.586,0.046,6,Smim1
4186,0.771,0.534664025,0.542,4.479022363,0.568,0.027,6,Fhad1
4187,0.771,0.500894465,0.542,1.002542008,0.967,0.755,6,Dstn
4188,0.77,0.552769758,0.54,1.257960138,0.899,0.625,6,ENSMUSG00000121783
4189,0.769,0.527207078,0.538,4.483905006,0.564,0.028,6,Arsg
4190,0.769,0.588173285,0.538,2.649728625,0.654,0.15,6,Slc25a39
4191,0.769,0.564680747,0.538,2.841117509,0.636,0.116,6,Wdr6
4192,0.769,0.370225829,0.538,0.595563656,1,0.993,6,Cox4i1
4193,0.769,0.5362033,0.538,4.760579324,0.56,0.024,6,Fras1
4194,0.769,0.851003491,0.538,2.682948752,0.695,0.219,6,Mtarc2
4195,0.768,0.54591027,0.536,1.330046408,0.891,0.481,6,Pgrmc1
4196,0.767,0.504250083,0.534,5.715834024,0.545,0.011,6,Frem1
4197,0.767,0.568843384,0.534,2.341304767,0.683,0.182,6,Cat
4198,0.765,0.239887403,0.53,0.589701929,0.829,0.272,6,Cryab
4199,0.764,0.570300057,0.528,1.909014925,0.735,0.268,6,Hif1a
4200,0.764,0.576308725,0.528,1.478996899,0.835,0.464,6,Ctnnb1
4201,0.764,0.605679451,0.528,2.493983472,0.642,0.132,6,Sntb2
4202,0.762,0.523287813,0.524,2.995509027,0.605,0.093,6,Tspan33
4203,0.762,0.493350242,0.524,1.111711733,0.93,0.64,6,Romo1
4204,0.761,0.52803314,0.522,3.494405553,0.574,0.055,6,Cd59a
4205,0.76,0.531637728,0.52,1.191295952,0.905,0.635,6,Canx
4206,0.76,0.548877816,0.52,3.494400446,0.572,0.055,6,Msx1
4207,0.759,0.518176411,0.518,6.532409898,0.525,0.006,6,Otx2
4208,0.759,0.510776085,0.518,1.264890896,0.872,0.517,6,Tmed10
4209,0.759,0.511569547,0.518,1.77972737,0.743,0.284,6,9530068E07Rik
4210,0.758,0.532008654,0.516,6.687273069,0.521,0.006,6,Ins2
4211,0.757,0.481990683,0.514,1.144729952,0.895,0.569,6,Mtch1
4212,0.756,0.528051093,0.512,3.474557834,0.568,0.065,6,L3mbtl3
4213,0.756,0.538421649,0.512,3.363270646,0.574,0.071,6,Dennd2b
4214,0.755,0.51311611,0.51,7.030054479,0.514,0.005,6,Prr32
4215,0.755,0.536823259,0.51,1.412301782,0.829,0.463,6,Sod1
4216,0.755,0.517061352,0.51,3.466412967,0.547,0.037,6,Spmip6
4217,0.753,0.438722638,0.506,0.744669475,0.998,0.96,6,Atp5mg
4218,0.753,0.569453123,0.506,1.782001489,0.716,0.25,6,Igf1r
4219,0.753,0.494190937,0.506,3.933189585,0.543,0.039,6,Tgfbr3
4220,0.752,0.577855397,0.504,1.990370946,0.702,0.247,6,Ap1s2
4221,0.752,0.257481467,0.504,0.567997337,0.854,0.306,6,Ndrg2
4222,0.751,0.613485513,0.502,1.350818007,0.778,0.309,6,Neat1
4223,0.751,0.428715879,0.502,1.506475268,0.681,0.156,6,Dab2
4224,0.751,0.486156498,0.502,3.416510549,0.547,0.042,6,Perp
4225,0.75,0.580990183,0.5,3.602783544,0.549,0.059,6,Sfrp1
4226,0.75,0.530051011,0.5,2.295054546,0.642,0.162,6,Fkbp9
4227,0.75,0.618661291,0.5,3.001585317,0.588,0.107,6,Ppargc1a
4228,0.749,0.521283306,0.498,2.991563503,0.578,0.096,6,Ccng1
4229,0.747,0.478253444,0.494,6.347247886,0.5,0.007,6,Gm29538
4230,0.745,0.476529475,0.49,1.700288541,0.695,0.21,6,Smpdl3a
4231,0.745,0.503950657,0.49,2.543392288,0.601,0.126,6,Acadm
4232,0.744,0.491435544,0.488,3.056611176,0.56,0.08,6,Cpt1a
4233,0.744,0.641243328,0.488,1.505292003,0.8,0.392,6,Cntn1
4234,0.744,0.491846695,0.488,6.895094132,0.492,0.005,6,Epn3
4235,0.744,0.388897717,0.488,0.79073512,0.934,0.489,6,Cd63
4236,0.744,0.511927128,0.488,2.742611605,0.584,0.114,6,Parva
4237,0.744,0.476037715,0.488,1.997317185,0.663,0.203,6,Smpd1
4238,0.744,0.495857804,0.488,3.596970535,0.535,0.052,6,Ctnnal1
4239,0.744,0.513684572,0.488,3.687782755,0.533,0.048,6,Rnf152
4240,0.743,0.470057499,0.486,5.83409306,0.496,0.01,6,Sema3b
4241,0.742,0.478748158,0.484,2.465017688,0.601,0.135,6,Pomgnt1
4242,0.741,0.513416778,0.482,1.854273783,0.689,0.254,6,Acox1
4243,0.741,0.499143352,0.482,2.318975151,0.613,0.151,6,Gns
4244,0.741,0.500218368,0.482,1.475957882,0.747,0.293,6,Ahcyl2
4245,0.741,0.466626228,0.482,5.433555131,0.494,0.013,6,Lepr
4246,0.741,0.292402965,0.482,0.534021316,0.977,0.627,6,Atp1b1
4247,0.74,0.46388191,0.48,1.450820777,0.767,0.349,6,Sdha
4248,0.74,0.44469943,0.48,0.896995726,0.967,0.71,6,Atp5mc3
4249,0.739,0.451754936,0.478,3.261764167,0.535,0.059,6,Cetn4
4250,0.738,0.384201894,0.476,0.625547075,1,0.978,6,Cox6c
4251,0.738,0.462325449,0.476,2.485173739,0.58,0.104,6,Gpx8
4252,0.738,0.477627003,0.476,2.111932451,0.628,0.17,6,Gaa
4253,0.737,0.381927359,0.474,0.673737485,0.994,0.882,6,Atp5mk
4254,0.736,0.462823567,0.472,3.796277017,0.51,0.04,6,Hfe
4255,0.736,0.461023852,0.472,2.745464372,0.562,0.097,6,Fat1
4256,0.735,0.415871334,0.47,1.464569039,0.695,0.207,6,Tapbp
4257,0.735,0.280952671,0.47,0.74548697,0.772,0.254,6,Csrp2
4258,0.735,0.472564498,0.47,3.383492321,0.521,0.055,6,Cish
4259,0.735,0.405245902,0.47,0.789316844,0.969,0.842,6,Ubl5
4260,0.734,0.439464574,0.468,1.172469993,0.848,0.466,6,Aco2
4261,0.734,0.466064028,0.468,3.040426088,0.537,0.073,6,Sh3d19
4262,0.733,0.490834747,0.466,2.104983695,0.623,0.189,6,Tmx1
4263,0.733,0.437786904,0.466,2.383348533,0.576,0.114,6,Cpne2
4264,0.733,0.461639816,0.466,3.118111857,0.531,0.07,6,Cachd1
4265,0.732,0.52237183,0.464,3.755669211,0.508,0.053,6,Atp2b3
4266,0.732,0.455421612,0.464,2.116352754,0.615,0.173,6,Nipsnap2
4267,0.731,0.397094772,0.462,0.972069634,0.879,0.466,6,Atp6v0e
4268,0.731,0.45765061,0.462,3.41969666,0.508,0.046,6,Car10
4269,0.731,0.481459939,0.462,1.199464524,0.837,0.548,6,Nedd4
4270,0.731,0.44650665,0.462,1.825257587,0.65,0.196,6,Aldh2
4271,0.73,0.434142906,0.46,3.148694294,0.519,0.06,6,Vasn
4272,0.73,0.468038882,0.46,1.975174263,0.617,0.167,6,Itpkb
4273,0.729,0.458866318,0.458,2.62331336,0.547,0.091,6,Fgfr2
4274,0.728,0.452172238,0.456,3.227205395,0.512,0.059,6,Antxr1
4275,0.727,0.448488757,0.454,1.531774009,0.716,0.311,6,Dynlt3
4276,0.727,0.436581676,0.454,2.262755048,0.58,0.137,6,Morn2
4277,0.727,0.459771203,0.454,2.778531553,0.541,0.095,6,Kif1c
4278,0.727,0.431741134,0.454,1.995517351,0.615,0.174,6,Etfa
4279,0.726,0.437780611,0.452,4.073861286,0.481,0.031,6,Clxn
4280,0.726,0.438573782,0.452,3.803254213,0.49,0.039,6,Cdc14b
4281,0.726,0.441953068,0.452,1.92998133,0.619,0.183,6,Ggh
4282,0.726,0.518162327,0.452,2.083206887,0.607,0.178,6,Camk2d
4283,0.725,0.453852816,0.45,2.367584141,0.564,0.124,6,Mospd1
4284,0.725,0.466902386,0.45,2.974047084,0.525,0.082,6,Erlin2
4285,0.725,0.472813643,0.45,5.872793713,0.459,0.01,6,Steap1
4286,0.724,0.466351999,0.448,3.189881789,0.504,0.06,6,Hspb6
4287,0.723,0.269442774,0.446,0.787624176,0.726,0.275,6,Lgmn
4288,0.723,0.440863303,0.446,3.88282147,0.481,0.038,6,Larp1b
4289,0.723,0.541960275,0.446,1.913037639,0.654,0.263,6,H13
4290,0.722,0.420033231,0.444,1.857499776,0.621,0.188,6,Lrp10
4291,0.722,0.338778634,0.444,1.326506982,0.521,0.064,6,Col1a2
4292,0.722,0.37842954,0.444,1.86863963,0.539,0.084,6,Tlr2
4293,0.721,0.490707015,0.442,1.077931945,0.901,0.623,6,Ndufa11
4294,0.721,0.368538499,0.442,1.438744829,0.576,0.125,6,Lgals1
4295,0.721,0.413265127,0.442,1.514869149,0.683,0.258,6,Dnajc3
4296,0.72,0.465299323,0.44,2.780718246,0.523,0.09,6,Fndc3b
4297,0.719,0.484562613,0.438,6.370706859,0.444,0.007,6,Gm32468
4298,0.719,0.472791295,0.438,1.488820889,0.716,0.333,6,Tgoln1
4299,0.719,0.45086073,0.438,2.240001052,0.57,0.152,6,Hipk3
4300,0.718,0.530989917,0.436,2.047570601,0.603,0.199,6,Irs2
4301,0.717,0.514374357,0.434,1.215386352,0.819,0.573,6,Ddx3x
4302,0.717,0.421506178,0.434,2.511503709,0.531,0.103,6,Acaa2
4303,0.716,0.455286548,0.432,2.267816837,0.562,0.15,6,Slc23a2
4304,0.715,0.41613187,0.43,1.739805688,0.63,0.222,6,Tm9sf2
4305,0.715,0.474757206,0.43,2.265558067,0.556,0.137,6,Tcn2
4306,0.715,0.373383715,0.43,0.983244902,0.827,0.413,6,Eno1
4307,0.714,0.437087839,0.428,1.583563163,0.656,0.236,6,Rnaset2b
4308,0.714,0.568015042,0.428,1.800793176,0.599,0.185,6,Hes1
4309,0.714,0.433589342,0.428,2.419353729,0.539,0.126,6,Ube2z
4310,0.714,0.3688382,0.428,1.76462395,0.562,0.113,6,Slc39a12
4311,0.713,0.19806754,0.426,0.55120259,0.728,0.246,6,Mfge8
4312,0.712,0.414889189,0.424,1.501887328,0.673,0.261,6,Hprt1
4313,0.712,0.455519469,0.424,0.926334316,0.901,0.646,6,App
4314,0.712,0.414187243,0.424,1.498292074,0.673,0.282,6,Golph3
4315,0.712,0.449200434,0.424,2.393690553,0.521,0.097,6,Rai14
4316,0.712,0.404955871,0.424,1.991168226,0.553,0.126,6,Man1a
4317,0.712,0.419800954,0.424,5.393905929,0.434,0.011,6,Slc37a2
4318,0.712,0.37163047,0.424,1.029082759,0.819,0.424,6,Tusc3
4319,0.712,0.356246174,0.424,0.798800016,0.852,0.458,6,Ldhb
4320,0.712,0.405460416,0.424,1.523579001,0.665,0.271,6,Tax1bp1
4321,0.712,0.401172271,0.424,3.586066149,0.461,0.037,6,Cds1
