run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias	Lane	Sample	BiolRep	label
ERR458788	SAMEA2400992	ERX425135	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458788/ERR458788.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458788	mu_sample289	2	SNF2	42	SNF2_42
ERR458789	SAMEA2400993	ERX425136	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458789/ERR458789.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458789	mu_sample290	3	SNF2	42	SNF2_42
ERR458792	SAMEA2400996	ERX425139	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458792/ERR458792.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458792	mu_sample293	6	SNF2	42	SNF2_42
ERR458787	SAMEA2400991	ERX425134	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458787/ERR458787.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458787	mu_sample288	1	SNF2	42	SNF2_42
ERR458791	SAMEA2400995	ERX425138	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458791/ERR458791.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458791	mu_sample292	5	SNF2	42	SNF2_42
ERR458801	SAMEA2401005	ERX425148	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458801/ERR458801.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458801	mu_sample302	1	SNF2	44	SNF2_44
ERR458802	SAMEA2401006	ERX425149	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458802/ERR458802.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458802	mu_sample303	2	SNF2	44	SNF2_44
ERR458805	SAMEA2401009	ERX425152	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458805/ERR458805.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458805	mu_sample306	5	SNF2	44	SNF2_44
ERR458804	SAMEA2401008	ERX425151	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458804/ERR458804.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458804	mu_sample305	4	SNF2	44	SNF2_44
ERR458806	SAMEA2401010	ERX425153	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458806/ERR458806.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458806	mu_sample307	6	SNF2	44	SNF2_44
ERR458803	SAMEA2401007	ERX425150	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458803/ERR458803.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458803	mu_sample304	3	SNF2	44	SNF2_44
