run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias
ERR458544	SAMEA2400748	ERX424891	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458544/ERR458544.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458544	mu_sample45
ERR458563	SAMEA2400767	ERX424910	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458563/ERR458563.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458563	mu_sample64
ERR458545	SAMEA2400749	ERX424892	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458545/ERR458545.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458545	mu_sample46
ERR458565	SAMEA2400769	ERX424912	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458565/ERR458565.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458565	mu_sample66
ERR458566	SAMEA2400770	ERX424913	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458566/ERR458566.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458566	mu_sample67
ERR458548	SAMEA2400752	ERX424895	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458548/ERR458548.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458548	mu_sample49
ERR458570	SAMEA2400774	ERX424917	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458570/ERR458570.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458570	mu_sample71
ERR458575	SAMEA2400779	ERX424922	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458575/ERR458575.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458575	mu_sample76
ERR458555	SAMEA2400759	ERX424902	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458555/ERR458555.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458555	mu_sample56
ERR458576	SAMEA2400780	ERX424923	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458576/ERR458576.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458576	mu_sample77
ERR458558	SAMEA2400762	ERX424905	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458558/ERR458558.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458558	mu_sample59
ERR458581	SAMEA2400785	ERX424928	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458581/ERR458581.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458581	mu_sample82
ERR458585	SAMEA2400789	ERX424932	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458585/ERR458585.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458585	mu_sample86
ERR458561	SAMEA2400765	ERX424908	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458561/ERR458561.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458561	mu_sample62
ERR458586	SAMEA2400790	ERX424933	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458586/ERR458586.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458586	mu_sample87
ERR458593	SAMEA2400797	ERX424940	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458593/ERR458593.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458593	mu_sample94
ERR458568	SAMEA2400772	ERX424915	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458568/ERR458568.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458568	mu_sample69
ERR458599	SAMEA2400803	ERX424946	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458599/ERR458599.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458599	mu_sample100
ERR458601	SAMEA2400805	ERX424948	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458601/ERR458601.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458601	mu_sample102
ERR458571	SAMEA2400775	ERX424918	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458571/ERR458571.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458571	mu_sample72
ERR458606	SAMEA2400810	ERX424953	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458606/ERR458606.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458606	mu_sample107
ERR458578	SAMEA2400782	ERX424925	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458578/ERR458578.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458578	mu_sample79
ERR458611	SAMEA2400815	ERX424958	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458611/ERR458611.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458611	mu_sample112
ERR458579	SAMEA2400783	ERX424926	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458579/ERR458579.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458579	mu_sample80
ERR458617	SAMEA2400821	ERX424964	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458617/ERR458617.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458617	mu_sample118
ERR458618	SAMEA2400822	ERX424965	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458618/ERR458618.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458618	mu_sample119
ERR458583	SAMEA2400787	ERX424930	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458583/ERR458583.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458583	mu_sample84
ERR458620	SAMEA2400824	ERX424967	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458620/ERR458620.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458620	mu_sample121
ERR458584	SAMEA2400788	ERX424931	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458584/ERR458584.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458584	mu_sample85
ERR458628	SAMEA2400832	ERX424975	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458628/ERR458628.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458628	mu_sample129
ERR458587	SAMEA2400791	ERX424934	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458587/ERR458587.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458587	mu_sample88
ERR458631	SAMEA2400835	ERX424978	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458631/ERR458631.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458631	mu_sample132
ERR458588	SAMEA2400792	ERX424935	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458588/ERR458588.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458588	mu_sample89
ERR458632	SAMEA2400836	ERX424979	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458632/ERR458632.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458632	mu_sample133
ERR458634	SAMEA2400838	ERX424981	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458634/ERR458634.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458634	mu_sample135
ERR458589	SAMEA2400793	ERX424936	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458589/ERR458589.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458589	mu_sample90
ERR458636	SAMEA2400840	ERX424983	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458636/ERR458636.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458636	mu_sample137
ERR458639	SAMEA2400843	ERX424986	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458639/ERR458639.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458639	mu_sample140
ERR458591	SAMEA2400795	ERX424938	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458591/ERR458591.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458591	mu_sample92
ERR458640	SAMEA2400844	ERX424987	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458640/ERR458640.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458640	mu_sample141
ERR458595	SAMEA2400799	ERX424942	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458595/ERR458595.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458595	mu_sample96
ERR458643	SAMEA2400847	ERX424990	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458643/ERR458643.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458643	mu_sample144
ERR458644	SAMEA2400848	ERX424991	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458644/ERR458644.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458644	mu_sample145
ERR458597	SAMEA2400801	ERX424944	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458597/ERR458597.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458597	mu_sample98
ERR458645	SAMEA2400849	ERX424992	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458645/ERR458645.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458645	mu_sample146
ERR458598	SAMEA2400802	ERX424945	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458598/ERR458598.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458598	mu_sample99
ERR458646	SAMEA2400850	ERX424993	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458646/ERR458646.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458646	mu_sample147
